query-id	corpus-id	score
183636	2987794	1
866984	2278364	1
241105	4202233	1
809018	4054654	1
596043	2208966	1
66875	3580669	1
786097	4808884	1
698764	462604	1
490138	471602	1
68511	6407714	1
604802	6994331	1
73766	2263296	1
1171413	2570995	1
328312	6015345	1
721657	5272894	1
621417	5920550	1
114933	2055996	1
98213	2863152	1
496456	2059273	1
520858	6048403	1
248658	5429059	1
313450	713185	1
1149964	1596080	1
674732	1528946	1
807831	3371157	1
26286	362045	1
739992	155680	1
788334	4556569	1
848415	4615081	1
929477	4029418	1
568010	753288	1
817838	6096205	1
559919	905882	1
808973	4724278	1
466132	1735577	1
244842	509250	1
886530	5293482	1
160774	6854193	1
755329	1319290	1
863820	5324774	1
144283	898389	1
939321	3062759	1
419461	6171189	1
104398	725411	1
756150	1898538	1
158395	635433	1
909002	4643516	1
745498	6945182	1
948858	3804642	1
192486	934134	1
608427	6852044	1
283262	4744158	1
974391	2874580	1
1139463	2588828	1
289606	6412278	1
490313	6001695	1
990732	4686537	1
284835	3215355	1
762145	3433361	1
515912	4104069	1
993324	2491725	1
389050	5357052	1
964809	2954466	1
690087	2128240	1
53868	5553899	1
103606	1907961	1
142637	6105588	1
425667	1232701	1
916163	788922	1
108367	6170512	1
1027773	3841791	1
775737	3743339	1
40414	1880836	1
479821	721432	1
578961	790105	1
66935	4268429	1
978519	3004510	1
437508	487785	1
605079	277979	1
313452	5492696	1
763898	6302608	1
197575	6650068	1
1011640	5015855	1
830061	5277886	1
620056	596278	1
866305	3435805	1
948500	508117	1
793287	5319550	1
750975	8653506	1
321174	458829	1
93994	268483	1
196042	332652	1
1061558	3339102	1
197909	3672134	1
608919	6076046	1
205976	5300823	1
1169410	4560115	1
161366	6661788	1
385928	1338357	1
394275	552753	1
518092	1058480	1
707336	378319	1
1077393	3450562	1
608898	1519540	1
387641	748297	1
999465	2266419	1
899050	3423620	1
797503	3517209	1
140104	1125373	1
800873	4889346	1
286137	2128454	1
596402	780137	1
935941	3072047	1
461284	1931419	1
831031	2962887	1
1077526	2590580	1
885270	1641470	1
688406	5875605	1
24606	6777301	1
909178	4003347	1
594247	3031882	1
842248	3251539	1
965551	4810596	1
212393	5233540	1
95862	604309	1
622925	1376236	1
833401	5243365	1
1062080	3173298	1
896010	2424310	1
126891	7528326	1
1010732	4701689	1
372847	6587919	1
1034889	4602024	1
40430	4949797	1
1141585	2387513	1
110994	5111912	1
1024402	4644081	1
742423	5025300	1
941193	3943139	1
874472	3571112	1
687525	6894340	1
136555	3438937	1
721891	1590141	1
873979	2451149	1
51433	6456383	1
65395	5583040	1
1045694	4705126	1
612292	4083755	1
959567	3744937	1
987340	2264712	1
515546	6958507	1
449855	7271355	1
705098	1814867	1
883093	4805351	1
154548	945024	1
1039157	4682077	1
153389	1155939	1
993847	2272469	1
366902	4232696	1
845577	3460498	1
505759	6981658	1
647885	1855261	1
678957	6534065	1
62318	2430125	1
483332	1627171	1
80211	1754565	1
393133	6856063	1
886457	5244699	1
749927	1237035	1
1053080	4880020	1
443680	3184966	1
501607	546101	1
719344	292943	1
118199	2188251	1
230490	6833901	1
1040194	2473741	1
61754	3896916	1
429542	4255994	1
1067436	3116575	1
977200	2858016	1
1153643	1241031	1
1050804	4864760	1
584208	5676489	1
240828	6433498	1
190209	2471572	1
535066	1483083	1
416832	1906268	1
983903	5263150	1
162802	6640809	1
689201	797351	1
927004	4059351	1
21106	6206413	1
126016	2249806	1
642091	3131587	1
534030	270661	1
218438	2400141	1
506379	1760379	1
309822	635247	1
579954	2995499	1
841851	4507067	1
219288	6634667	1
350909	5872101	1
859353	3379876	1
694809	5793565	1
646108	2014007	1
1145009	2031923	1
1078073	5083341	1
963209	5333917	1
780010	2836412	1
1140083	2533663	1
708644	481856	1
280727	3931474	1
153352	1985664	1
99551	3315324	1
699397	8482410	1
511677	3899512	1
698798	1867043	1
817457	2683194	1
953413	4890858	1
703403	8697190	1
829189	5420898	1
373236	1923475	1
469694	1636900	1
179118	5853676	1
100554	3383132	1
815475	2948722	1
229776	5201562	1
232961	8511993	1
265855	8718936	1
235327	1013224	1
632411	800024	1
25667	759930	1
968500	3947435	1
278042	6221037	1
130929	6352462	1
196618	2399385	1
135002	6581352	1
937426	3042850	1
906935	4286417	1
746941	1124567	1
142939	2463782	1
400378	6857881	1
1072804	5025180	1
957617	4803606	1
973907	6226908	1
53438	550814	1
209306	6047785	1
744376	128808	1
501030	611849	1
79695	1470297	1
464537	529874	1
490210	1278074	1
274392	5300602	1
333253	6596738	1
456694	1193789	1
21899	5594834	1
1005416	4944456	1
535209	7300635	1
331853	104421	1
917795	2882191	1
745404	2170050	1
868023	2421655	1
149444	6020690	1
785809	5188509	1
301483	1326722	1
140607	1158031	1
987900	2280915	1
496795	5998799	1
442285	1183355	1
150572	1664050	1
932887	921399	1
322642	5808031	1
199450	1258091	1
84678	6345060	1
559406	7975682	1
815448	3870942	1
722888	138830	1
96896	6446663	1
54836	6634026	1
1165884	7901934	1
796562	2881874	1
775727	3778202	1
1169764	4210765	1
538325	1364629	1
851982	3049229	1
722177	758433	1
747978	1694130	1
611126	6948335	1
857066	3262849	1
1184657	337910	1
1028301	3971880	1
474542	122560	1
394408	1456145	1
953412	4413678	1
1037604	2494354	1
27599	1568626	1
580985	952116	1
553790	1950638	1
503768	2328485	1
4354	6267449	1
1156565	964095	1
438014	5461432	1
189787	1709684	1
921204	3036542	1
535609	6662574	1
10071	6790621	1
435083	1018447	1
1002106	2495837	1
159564	7140727	1
911988	2794421	1
537424	6807092	1
428323	3741318	1
108517	4732629	1
769788	4740305	1
898635	4003359	1
290092	330394	1
1007849	3259413	1
1062238	2505878	1
1011450	3397342	1
126261	6001140	1
12811	4926877	1
978929	470057	1
596416	3719251	1
977374	5251779	1
622008	1992498	1
324028	5635618	1
993958	5963985	1
610802	1800724	1
607206	6038659	1
1143579	2189757	1
486845	2082421	1
983031	3037600	1
318336	853588	1
205976	5300820	1
1175568	6992405	1
1077146	2599883	1
767358	820134	1
795722	920553	1
389513	139245	1
988014	4491830	1
244093	5131603	1
916194	3063411	1
233108	6642560	1
299168	6487168	1
823359	4348258	1
667876	768783	1
664277	152218	1
83505	5516179	1
942041	2930010	1
412550	1967842	1
1040588	3373921	1
455052	1280807	1
639942	283409	1
327866	6642793	1
1081598	4135493	1
913212	2686409	1
973680	2876535	1
593193	5576870	1
48373	4646281	1
270006	5989374	1
696824	2219669	1
925351	4797835	1
839994	5985741	1
712517	1158439	1
1038219	2327115	1
1146821	1891009	1
394408	1456146	1
779767	2991995	1
746177	331084	1
951838	6122499	1
312244	629441	1
1138540	2679971	1
545376	2153465	1
573736	628035	1
254095	599640	1
287490	3049748	1
1076277	3725119	1
1145854	1979324	1
1165463	8278266	1
969368	3057231	1
149847	1291565	1
856215	336619	1
376332	6659071	1
721221	202976	1
197399	1562859	1
84941	1874826	1
498438	185959	1
1182020	1953005	1
814882	4580332	1
849933	4261563	1
35988	1088536	1
452967	550049	1
179582	160220	1
724254	428698	1
675550	6048623	1
24282	5265937	1
1142396	2308915	1
393430	1303494	1
314062	4450253	1
431398	8198136	1
1029951	3081700	1
197623	5544953	1
853200	4040490	1
838482	2843083	1
973435	4248237	1
145961	810209	1
901354	2513043	1
683610	5922180	1
826122	2884799	1
180734	6473258	1
439600	1152999	1
776869	5945701	1
201513	7150266	1
160812	2270594	1
843363	6296784	1
1006677	3101624	1
470126	1437178	1
183428	3183329	1
986474	5412888	1
28053	5021519	1
929425	3867094	1
679581	1777894	1
1082018	6223836	1
319684	3800498	1
611968	6069601	1
580985	952122	1
627507	1940539	1
909691	3768897	1
776220	2611293	1
349946	3410820	1
386447	841386	1
683066	6064472	1
1178577	5390516	1
402311	2116148	1
453964	8461945	1
496416	1243552	1
626266	1282354	1
812217	6217614	1
590995	5303664	1
240201	6549784	1
392854	3699849	1
833815	3494536	1
320306	4433694	1
73760	4547082	1
1181092	2921701	1
130784	1336069	1
225640	6499146	1
866871	4161772	1
575182	1390053	1
231830	736041	1
60693	571744	1
211864	5553479	1
1034527	5235244	1
413503	790345	1
896155	3631314	1
807076	6295135	1
195458	3260078	1
524484	3612275	1
886899	2780059	1
754244	915567	1
419718	1993890	1
5186	4207925	1
1169220	4748281	1
672664	6766580	1
154129	5752366	1
1171126	2874103	1
660880	2932863	1
723902	922047	1
452732	1227084	1
447240	7034131	1
1151360	1458412	1
998730	5109479	1
411641	755159	1
831716	6232279	1
876432	3959957	1
68279	2329426	1
360031	868942	1
890638	6299431	1
743392	442943	1
103134	4658337	1
903596	2533019	1
178217	6631216	1
734263	3893795	1
159649	2486024	1
1140573	2485042	1
195717	4022408	1
122710	798246	1
132059	6357353	1
599308	996213	1
1026315	5082764	1
939565	4981297	1
659374	832118	1
836804	3036606	1
387981	562058	1
719523	1327037	1
820978	2458342	1
764233	2382941	1
1012162	3981305	1
541576	6876306	1
1154235	1180364	1
228585	6625282	1
133309	155991	1
774834	2559548	1
1050291	4119222	1
460040	6212134	1
406374	6737431	1
841618	4461178	1
1183491	443026	1
735322	3913272	1
1157445	875010	1
844319	4960320	1
434399	1254645	1
588068	500912	1
387639	2219950	1
599366	1113713	1
109087	3183938	1
1035985	486237	1
519426	1351905	1
366821	6028807	1
661391	2196965	1
484227	6775197	1
802977	2161546	1
400823	6175724	1
1018523	3252719	1
206840	6031916	1
333104	2609615	1
113043	6459636	1
887860	6111928	1
854531	5281787	1
203382	3341947	1
959566	2464242	1
336013	5471059	1
174492	4080821	1
836804	3763452	1
27240	5541374	1
402307	410678	1
420012	6271324	1
60659	6584147	1
283156	5747240	1
621319	7212084	1
220194	5982819	1
77712	6517962	1
962642	2785168	1
1170299	54237	1
578352	1209655	1
85793	6214028	1
584694	6793530	1
691249	4567448	1
473288	1131733	1
616745	2117858	1
857262	2868849	1
1081602	4871100	1
99686	373654	1
674742	6978652	1
497418	3029804	1
1952	975249	1
1037643	5348341	1
1047813	4598825	1
468217	1438652	1
134471	1693912	1
737015	5606625	1
769710	5329091	1
226020	7879708	1
397000	5875025	1
700506	1127905	1
835076	3087307	1
717165	5909577	1
179465	2724647	1
494371	3897873	1
47877	2928194	1
234797	685747	1
718335	972807	1
684694	6037253	1
579384	1568862	1
512713	1215743	1
113434	729102	1
871907	5168594	1
943010	1035521	1
654749	6176135	1
565738	1613845	1
892656	4504104	1
734928	6736942	1
676006	1086245	1
627302	701558	1
1041798	4090941	1
311553	2479030	1
313197	6379419	1
335988	5792779	1
572023	8571283	1
275093	6558646	1
747292	6924777	1
242385	6865587	1
202018	5852745	1
654964	319193	1
305314	5535371	1
51256	2029199	1
997133	6117704	1
405459	7189626	1
860186	2256210	1
416798	1455474	1
244195	1687458	1
721551	1468210	1
4546	608684	1
997061	2902407	1
179997	3028038	1
208486	914480	1
250025	3815935	1
855256	2512597	1
579840	6578031	1
191949	4382110	1
113447	5685360	1
229649	5256101	1
336893	6332724	1
750140	6265113	1
793075	2662866	1
1000040	1802921	1
462853	603080	1
752791	1108050	1
985177	4817442	1
270252	4619582	1
976573	5966474	1
525087	8065980	1
614125	5343351	1
51256	2029198	1
519855	7853867	1
76834	5814032	1
576341	3828889	1
419895	5147469	1
226301	2704509	1
508568	6357530	1
284193	6512546	1
1138202	2714058	1
1051984	3295967	1
506425	1564727	1
533750	1351710	1
1169713	4262141	1
798157	3311231	1
1052529	5338400	1
358866	6460581	1
109479	1171447	1
872513	2929560	1
897197	3869363	1
154137	4116702	1
769915	6232141	1
611499	842386	1
567868	1743802	1
786264	3585423	1
1027973	2464904	1
1014193	4193865	1
31535	3561968	1
370881	5129158	1
363107	5545415	1
153377	4872125	1
262455	2223358	1
653152	527295	1
1037185	3963431	1
290400	5434571	1
1179875	4162432	1
187776	2005040	1
1055705	3263967	1
1138020	2730384	1
979759	2592520	1
502005	6525677	1
188717	2277780	1
550253	199336	1
748263	6223920	1
872000	4268168	1
844033	2928840	1
610694	6835192	1
693740	1747391	1
200613	6168915	1
165545	6534208	1
602974	2114594	1
537254	1210684	1
987404	4790981	1
675886	556183	1
911125	3011526	1
282899	5406728	1
675043	821801	1
278790	3670707	1
237844	3395144	1
149847	1291571	1
690962	511756	1
471516	6749992	1
1051283	2286734	1
447364	1945939	1
1144769	2078005	1
986797	5236552	1
1146265	1940884	1
282109	1789004	1
785527	398761	1
16978	1554940	1
332007	2394532	1
130010	5859452	1
90577	3349649	1
601325	6645544	1
1146376	1930078	1
940092	5264748	1
163874	684786	1
511121	936891	1
702478	7864807	1
856072	2299528	1
172673	4789311	1
430116	5331854	1
917312	4160594	1
984784	5331735	1
273769	6545663	1
870148	2571116	1
463605	1994260	1
697964	6814923	1
277731	6012587	1
848998	4420449	1
744198	1455103	1
688335	885679	1
53636	5602658	1
1178025	5832499	1
414074	2969887	1
45850	386825	1
800926	2816391	1
405715	6763455	1
988330	4223758	1
613745	4124434	1
4891	2000841	1
786453	4423067	1
307829	1867264	1
55755	5887162	1
812847	3629285	1
255036	5527901	1
748933	2142303	1
172180	5721317	1
754759	7357862	1
1157572	861637	1
182009	7887792	1
855622	4138819	1
749840	1640633	1
719648	5379637	1
89094	1434144	1
431492	4176256	1
416775	1982076	1
305861	5908160	1
435981	1574307	1
530536	7373141	1
630098	86933	1
197422	5731784	1
260134	798899	1
59857	4142106	1
70542	997167	1
1010091	3188759	1
871573	3631869	1
705398	2211223	1
248808	6022069	1
826311	5096513	1
46945	898530	1
1172881	1066799	1
792328	2343186	1
435981	1574300	1
98361	6545551	1
992724	4433842	1
720790	3768094	1
920367	3293321	1
490021	623110	1
717923	1768267	1
465536	398928	1
63085	5596940	1
258477	1112243	1
465669	6938783	1
374280	5868234	1
981722	4187289	1
488295	743962	1
1145528	2008870	1
66299	5743444	1
161177	5607845	1
1016464	2787148	1
517790	5812368	1
785888	6135226	1
206265	5571674	1
199633	5648638	1
235493	6168973	1
713838	3173914	1
589047	1965540	1
108797	6177188	1
599872	1506555	1
163243	5108856	1
41966	2444258	1
10571	4392584	1
515546	6958506	1
488765	1454039	1
676440	7003328	1
419156	1187466	1
284193	2989450	1
779766	3839822	1
540374	1670519	1
884943	2900984	1
855493	3679360	1
641855	434389	1
95411	3673932	1
803918	5192573	1
762136	3358356	1
546739	6867891	1
902917	2993099	1
1141389	2404696	1
717463	1027321	1
1034225	5164330	1
630413	982643	1
125081	2670354	1
219288	6634662	1
436397	4383202	1
1028301	3971879	1
726626	1675690	1
774834	2559556	1
648733	466670	1
870837	3121867	1
694343	158462	1
1008501	4094566	1
901944	5359275	1
178299	3052641	1
572183	2859409	1
93028	4941869	1
718162	4701669	1
494435	1013980	1
440290	7001261	1
415912	6258363	1
617188	241133	1
1166183	7617241	1
467534	506110	1
762056	5011958	1
861137	3535507	1
617956	1435453	1
174094	3410912	1
129294	2141012	1
329247	160139	1
56857	1833164	1
197165	6446526	1
621239	1685472	1
892961	4166282	1
1011373	4813218	1
34512	3171778	1
559333	1149494	1
334712	2308632	1
461319	1666806	1
