query-id	corpus-id	score
2000013	107545	1
2000014	69739	1
2000018	334921	1
2000024	420476	1
2000033	244555	1
2000035	325904	1
2000039	370508	1
2000042	33376	1
2000044	163257	1
2000057	447116	1
2000065	195532	1
2000067	510736	1
2000079	472837	1
2000080	538673	1
2000090	123753	1
2000093	464222	1
2000095	538285	1
2000097	192776	1
2000099	272076	1
2000108	569357	1
2000114	532724	1
2000118	552810	1
2000124	203636	1
2000128	427631	1
2000132	431760	1
2000142	450081	1
2000160	530767	1
2000163	18703	1
2000166	377957	1
2000177	276758	1
2000178	364701	1
2000179	108575	1
2000185	488096	1
2000200	253565	1
2000207	540232	1
2000210	341960	1
2000214	388983	1
2000219	61230	1
2000234	1392	1
2000236	350791	1
2000237	298833	1
2000238	580895	1
2000239	11414	1
2000242	362790	1
2000244	285472	1
2000257	398694	1
2000260	272669	1
2000267	432448	1
2000268	214093	1
2000271	530082	1
2000276	175470	1
2000279	163765	1
2000289	320652	1
2000291	414205	1
2000293	584732	1
2000300	480773	1
2000304	289083	1
2000306	83080	1
2000311	139583	1
2000316	275516	1
2000323	436040	1
2000324	357682	1
2000329	536853	1
2000332	364048	1
2000334	137079	1
2000339	486283	1
2000347	528259	1
2000348	67220	1
2000350	167060	1
2000351	380486	1
2000355	427110	1
2000360	37928	1
2000362	131676	1
2000363	246393	1
2000370	29400	1
2000371	235668	1
2000373	532034	1
2000374	506664	1
2000377	545287	1
2000378	63866	1
2000384	89099	1
2000394	348016	1
2000395	317412	1
2000397	42831	1
2000398	118149	1
2000400	180249	1
2000410	363430	1
2000418	415817	1
2000430	54574	1
2000439	38473	1
2000446	102155	1
2000447	65615	1
2000450	406314	1
2000460	374460	1
2000461	75686	1
2000467	451393	1
2000470	539508	1
2000474	87350	1
2000476	264822	1
2000487	143124	1
2000488	304023	1
2000496	262597	1
2000508	76519	1
2000523	461557	1
2000526	510615	1
2000528	519177	1
2000533	142136	1
2000535	2103	1
2000536	28134	1
2000537	166904	1
2000538	28135	1
2000547	218316	1
2000549	220632	1
2000550	198135	1
2000559	548626	1
2000565	384876	1
2000567	31224	1
2000573	547302	1
2000578	429725	1
2000581	583010	1
2000604	47293	1
2000605	563986	1
2000618	39454	1
2000619	216403	1
2000629	515724	1
2000641	253034	1
2000646	494285	1
2000653	462826	1
2000658	231959	1
2000660	196553	1
2000663	72843	1
2000666	484112	1
2000678	57781	1
2000686	327358	1
2000689	346035	1
2000694	14145	1
2000697	49948	1
2000700	396308	1
2000702	125472	1
2000711	27853	1
2000714	430522	1
2000719	361971	1
2000721	370922	1
2000725	101767	1
2000727	242654	1
2000728	294123	1
2000738	278122	1
2000754	24702	1
2000757	156462	1
2000761	435248	1
2000762	108842	1
2000773	224801	1
2000776	40556	1
2000782	423822	1
2000793	207449	1
2000796	38651	1
2000811	506740	1
2000820	142884	1
2000825	72237	1
2000833	381268	1
2000839	277572	1
2000855	373199	1
2000859	158410	1
2000881	169659	1
2000890	137262	1
2000903	446687	1
2000911	125685	1
2000917	345540	1
2000919	446652	1
2000920	133415	1
2000934	458934	1
2000939	129428	1
2000940	263171	1
2000949	237071	1
2000951	250563	1
2000955	109690	1
2000959	599422	1
2000973	80876	1
2000977	353293	1
2000999	100341	1
2001016	456823	1
2001023	470101	1
2001027	20027	1
2001031	449646	1
2001041	421621	1
2001059	283196	1
2001070	234545	1
2001073	227758	1
2001076	126155	1
2001083	472882	1
2001086	219444	1
2001095	87021	1
2001096	89595	1
2001098	66941	1
2001102	487222	1
2001107	478001	1
2001110	278315	1
2001113	40158	1
2001117	238747	1
2001119	596858	1
2001122	455984	1
2001125	518292	1
2001127	330212	1
2001142	328517	1
2001143	270006	1
2001148	385013	1
2001152	199921	1
2001153	32983	1
2001167	515765	1
2001184	224869	1
2001192	551727	1
2001194	590937	1
2001197	495282	1
2001204	51947	1
2001206	574846	1
2001216	27797	1
2001223	208658	1
2001230	449624	1
2001235	301447	1
2001257	345604	1
2001283	264249	1
2001290	474846	1
2001298	231097	1
2001308	439577	1
2001319	154537	1
2001321	506070	1
2001322	406542	1
2001324	221600	1
2001338	203825	1
2001346	243304	1
2001348	581403	1
2001354	168791	1
2001358	39781	1
2001362	560301	1
2001367	412251	1
2001381	129074	1
2001387	105790	1
2001404	403930	1
2001415	325037	1
2001420	343823	1
2001425	401345	1
2001427	195904	1
2001430	32880	1
2001438	65660	1
2001445	84110	1
2001446	369240	1
2001452	564759	1
2001473	545533	1
2001482	399692	1
2001495	233015	1
2001497	430672	1
2001502	556237	1
2001511	555748	1
2001518	98033	1
2001530	120283	1
2001532	96234	1
2001539	212481	1
2001543	5544	1
2001550	133560	1
2001555	464650	1
2001557	200446	1
2001561	76661	1
2001567	291424	1
2001571	235135	1
2001590	262405	1
2001594	207766	1
2001600	22436	1
2001603	177303	1
2001613	216359	1
2001617	247671	1
2001632	254840	1
2001634	507420	1
2001639	188473	1
2001641	585972	1
2001642	155845	1
2001645	597154	1
2001648	328695	1
2001649	229044	1
2001658	531482	1
2001666	327366	1
2001668	33750	1
2001671	384693	1
2001682	338113	1
2001684	548299	1
2001688	536686	1
2001697	303191	1
2001700	176414	1
2001716	403643	1
2001723	205906	1
2001725	496752	1
2001727	95919	1
2001728	412492	1
2001737	537577	1
2001745	538208	1
2001757	174460	1
2001758	21130	1
2001760	422422	1
2001792	429011	1
2001797	413415	1
2001799	453428	1
2001818	147177	1
2001819	209204	1
2001826	175778	1
2001846	44603	1
2001859	318005	1
2001868	241783	1
2001871	284351	1
2001874	129264	1
2001876	135503	1
2001877	582230	1
2001881	71953	1
2001884	79849	1
2001886	192913	1
2001893	411176	1
2001902	131804	1
2001906	417866	1
2001909	166087	1
2001913	164263	1
2001917	235364	1
2001919	97534	1
2001920	432023	1
2001930	374334	1
2001943	417625	1
2001949	552303	1
2001952	352046	1
2001961	151423	1
2001968	322253	1
2001971	176613	1
2001973	284333	1
2001983	486460	1
2001988	493264	1
2001992	3080	1
2001994	447482	1
2001996	84105	1
2002002	485351	1
2002008	148627	1
2002009	35357	1
2002022	563344	1
2002031	198871	1
