query-id	corpus-id	score
643	407540	1
643	73891	1
767	590080	1
785	474974	1
996	204541	1
1163	285449	1
1171	461290	1
1171	250564	1
1188	526664	1
1188	538238	1
1604	246706	1
1604	279317	1
1604	260292	1
1604	168827	1
1618	468718	1
1618	165397	1
1618	316359	1
1618	407893	1
1618	91388	1
1618	465260	1
1618	39720	1
1784	200136	1
1784	119853	1
1784	494618	1
1995	39006	1
1995	274369	1
1995	558611	1
1995	228308	1
1996	313896	1
1996	126385	1
1996	565762	1
2239	309077	1
2239	58046	1
2658	30299	1
2658	287481	1
2658	364269	1
2658	508211	1
3159	114435	1
3159	477468	1
3159	466976	1
3185	305226	1
3185	444390	1
3497	248697	1
3497	140038	1
3497	159273	1
3556	319894	1
3556	288403	1
3647	59795	1
3684	330288	1
3684	197596	1
3779	145238	1
3779	580147	1
3779	249831	1
3832	8464	1
3832	18209	1
3832	132684	1
3832	264994	1
3832	475906	1
3832	422560	1
3832	385468	1
3878	33987	1
3878	230297	1
4090	3312	1
4090	315286	1
4243	244004	1
4243	560308	1
4243	311748	1
4243	482056	1
4243	352833	1
4243	311446	1
4243	163872	1
4243	476103	1
4594	474129	1
4748	408932	1
4748	584106	1
4748	43142	1
4748	426624	1
5219	420018	1
5219	396817	1
5219	429153	1
5219	56867	1
5219	306834	1
5219	287857	1
5477	61030	1
5477	496050	1
5477	19837	1
5477	305863	1
5708	273820	1
5739	124762	1
5739	132361	1
5739	246109	1
5758	369075	1
6234	114428	1
6234	254152	1
6234	540929	1
6234	320953	1
6234	563380	1
6340	333334	1
6340	598272	1
6340	108978	1
6340	570632	1
6340	324680	1
6340	355477	1
6357	458635	1
6610	597627	1
6774	146177	1
6852	597346	1
6921	162768	1
6921	594047	1
6945	499536	1
7362	397166	1
7727	474981	1
7972	556696	1
7972	546125	1
8851	186495	1
9650	107822	1
10119	474487	1
10119	326335	1
10254	214723	1
10254	488830	1
10509	509795	1
10825	61787	1
11059	466084	1
11059	547087	1
7	411063	1
80	252473	1
95	586355	1
464	167494	1
671	148208	1
671	277482	1
671	213373	1
696	112987	1
696	90572	1
698	17661	1
698	30220	1
771	431438	1
771	558579	1
832	255519	1
909	417981	1
1001	468733	1
1204	144079	1
1204	481978	1
1204	540911	1
1224	94630	1
1224	76049	1
1302	347198	1
1302	539208	1
1302	327177	1
1302	481194	1
1362	236612	1
1385	78486	1
1631	89786	1
1769	329620	1
1769	254499	1
1929	155490	1
1941	558301	1
1941	377521	1
1941	354103	1
1941	489093	1
1941	549437	1
1941	548465	1
1941	218153	1
1941	323573	1
1941	64440	1
1941	590990	1
1941	434320	1
1941	381068	1
1941	200248	1
1941	440824	1
1941	314049	1
1941	489059	1
1941	308462	1
2147	47230	1
2147	342382	1
2147	159403	1
2160	244412	1
2160	17166	1
2160	290105	1
2184	150475	1
2184	96110	1
2184	314300	1
2184	560395	1
2184	17823	1
2184	102501	1
2184	303561	1
2184	285918	1
2184	313127	1
2184	369342	1
2192	133935	1
2192	46986	1
2243	63042	1
2243	233894	1
2243	265904	1
2618	32177	1
2618	196237	1
2618	232262	1
2618	171825	1
2618	569240	1
2618	338784	1
2618	14011	1
2618	56332	1
2618	62162	1
2618	241379	1
2618	437538	1
2618	446196	1
2618	537171	1
2618	37852	1
2618	284386	1
2618	486161	1
2618	366571	1
2618	88190	1
2618	301489	1
2672	149303	1
2672	68928	1
2672	53031	1
2672	134632	1
2672	427884	1
2672	34626	1
2672	536940	1
2684	212004	1
2684	519692	1
2684	311252	1
2684	272520	1
2684	309395	1
2684	55791	1
2684	414583	1
2684	397262	1
2684	370108	1
2684	4604	1
2875	232983	1
2897	57517	1
2897	294199	1
3068	377477	1
3068	109675	1
3068	305742	1
3068	117921	1
3068	206830	1
3097	423438	1
3097	266848	1
3097	387717	1
3097	334077	1
3106	586026	1
3183	519173	1
3183	205766	1
3183	468984	1
3183	389718	1
3383	528430	1
3383	53755	1
3383	351446	1
3383	111764	1
3383	458930	1
3383	107841	1
3383	199598	1
3383	362518	1
3383	168278	1
3383	563482	1
3383	344378	1
3383	163043	1
3459	391360	1
3459	84267	1
3459	88013	1
3573	22719	1
3573	356125	1
3573	467059	1
3573	255842	1
3573	451692	1
3573	489959	1
3573	173807	1
3573	164801	1
3573	114768	1
3573	422908	1
3573	178181	1
3573	88867	1
3616	141032	1
3616	364666	1
3616	335436	1
3616	480402	1
3616	474896	1
3619	500250	1
3690	475607	1
3783	585341	1
3783	354409	1
3783	78787	1
3783	479376	1
3840	228871	1
3840	536463	1
3840	301792	1
3840	296165	1
3840	524226	1
3854	466213	1
3854	477476	1
4042	312369	1
4042	52438	1
4042	333102	1
4042	387011	1
4042	4976	1
4042	383827	1
4042	356374	1
4050	192495	1
4050	556668	1
4050	236082	1
4050	358090	1
4050	598356	1
4050	545800	1
4050	129027	1
4050	350151	1
4050	236334	1
4050	147243	1
4050	587193	1
4050	354135	1
4050	65313	1
4050	251065	1
4050	248678	1
4055	151994	1
4055	276032	1
4055	29298	1
4067	248019	1
4067	560447	1
4067	355532	1
4067	485725	1
4067	474006	1
4067	430877	1
4081	371839	1
4083	436091	1
4083	27081	1
4083	569632	1
4083	284935	1
4120	142960	1
4120	296408	1
4120	52706	1
4120	364267	1
4120	268034	1
4234	446506	1
4234	437182	1
4234	160011	1
4234	590623	1
4234	278611	1
4234	243571	1
4234	244408	1
4234	161301	1
4234	111054	1
4234	29517	1
4234	61093	1
4234	261619	1
4234	97151	1
4247	221169	1
4247	539381	1
4350	534734	1
4350	284802	1
4350	373903	1
4350	32138	1
4350	491064	1
4350	88385	1
4350	261975	1
4350	594187	1
4350	155880	1
4418	163590	1
4533	84605	1
4533	229809	1
4703	585241	1
4703	108924	1
4703	9146	1
4703	27693	1
4900	477062	1
4902	362225	1
4902	298417	1
4902	41875	1
4902	591247	1
4975	136825	1
4975	462671	1
4975	161309	1
5010	399191	1
5089	256693	1
5118	515645	1
5118	172452	1
5118	571116	1
5349	430441	1
5349	180003	1
5367	410327	1
5367	487354	1
5367	590614	1
5367	285780	1
5440	314669	1
5440	537982	1
5440	181069	1
5440	294311	1
5440	85117	1
5440	361929	1
5566	140769	1
5566	49312	1
5566	169754	1
6017	540719	1
6043	218947	1
6043	412257	1
6043	57844	1
6043	461217	1
6043	112117	1
6217	95189	1
6217	64103	1
6217	571295	1
6217	494410	1
6387	554996	1
6387	58009	1
6387	217837	1
6405	480808	1
6405	384607	1
6405	152014	1
6572	120036	1
