_id,title,text,metadata
4063103,,"Local news for Leicester, MA continually updated from thousands of sources on the web. Tell me when there are new stories. Parents in Northboro grab Leicester man accused of exposing himself to kids. Tue Apr 11 | Worcester Telegram & Gazette.",{}
5718027,,"China likely biggest investor in Indonesia. Investment Coordinating Board (BKPM) has recorded Singapore as the largest contributor of investment in Indonesia with US$5.9 billion, a 20 percent share of total foreign investment in 2015.",{}
3937516,,"Super Bright LED, 8mm Red. Super Bright, Low Voltage, 8mm Light Emitting Diode with clear bulb and red light. May be used for science experiments and electronic circuits. Super bright, Low Voltage, 5mm Clear White Light Emitting Diode, may be used in science experiments, electronic circuits and decorative lights.",{}
7944700,,"In 2012, there were 608 undrafted players who appeared on active rosters for at least one game, or nearly 30 percent of all players, according to Elias Sports Bureau. Last year, the number was even greater -- 638, or 31.4 percent of the league's 2,026 total players. This year, there are 456 undrafted players on opening-week 53-man rosters, according to Elias, including 64 rookie free agents. Of those rookies, 36 weren't invited to the NFL Scouting Combine.",{}
8376707,,"Answers.comÂ® is making the world better one answer at a time. in theory, collecting resumes via online job application databases is a cross functional process between the hiring manager, HR, IT, and finance. However, 99.9% (my personal estimate) of the time when a person applies to a job online they do not get a reply from a real person.",{}
689498,,View a map showing the boundaries of the Walterboro Historic District. View the complete text of the nomination form for this National Register Property. View the complete text of the nomination form for the boundary increase of this National Register Property.,{}
3304016,,Relations between Kiribati and the United States are excellent. Kiribati signed a treaty of friendship with the United States after independence in 1979. The United States has no consular or diplomatic facilities in the country.,{}
6073554,,"The electron beam is generally scanned in a raster scan pattern, and the beam's position is combined with the detected signal to produce an image. SEM can achieve resolution better than 1 nanometer. Specimens can be observed in high vacuum, in low vacuum, in wet conditions (in environmental SEM), and at a wide range of cryogenic or elevated temperatures. The most common SEM mode is detection of secondary electrons emitted by atoms excited by the electron beam.",{}
5199589,,"That revolution in care continues to this day in the form of the culture change movement, which aims to transform the way that nursing home patients are treated. We'll address culture change later on in this article, but for now, let's deal with some basics about nursing homes.",{}
1347352,,"The psychological concept of the uncanny as something that is strangely familiar, rather than just mysterious, was perhaps first fixed by Sigmund Freud in his essay Das Unheimliche.",{}
6658696,,"Lots of things can leave us queasy or give us a stomachache. Viruses and bacteria are major physical causes of nausea and vomiting. But so are our emotions, especially anxiety, stress, and excitement.",{}
4820768,,"Although the development of organized labour provides a convenient focus for the discussion of working-class history, it is important to remember that most working people, past and present, have not belonged to unions: in 1996 only 33.9% of all nonagricultural paid workers in Canada belonged to unions.lthough the development of organized labour provides a convenient focus for the discussion of working-class history, it is important to remember that most working people, past and present, have not belonged to unions: in 1996 only 33.9% of all nonagricultural paid workers in Canada belonged to unions.",{}
