query-id	corpus-id	score
2000002	1253374	1
2000005	2970248	1
2000007	773572	1
2000012	4987533	1
2000013	6014006	1
2000014	2170381	1
2000015	6887893	1
2000020	5046189	1
2000022	7362173	1
2000023	1175520	1
2000027	2622467	1
2000028	960968	1
2000034	4712968	1
2000036	6310320	1
2000037	3881516	1
2000041	2850465	1
2000045	839874	1
2000046	2691994	1
2000049	7604325	1
2000050	4729442	1
2000051	7138491	1
2000057	5972827	1
2000058	4583879	1
2000059	3198312	1
2000060	2759811	1
2000061	4294787	1
2000066	763786	1
2000068	2055486	1
2000069	6647109	1
2000071	4173870	1
2000075	5085904	1
2000076	6796994	1
2000078	7928731	1
2000079	5449124	1
2000084	4380371	1
2000087	24241	1
2000089	8551414	1
2000092	6360062	1
2000093	4320391	1
2000097	6609079	1
2000099	990011	1
2000102	6364354	1
2000105	1924238	1
2000110	887789	1
2000111	7071043	1
2000114	8181917	1
2000116	4074024	1
2000117	8172421	1
2000118	6944962	1
2000119	8387845	1
2000123	7588128	1
2000126	7404786	1
2000128	4672853	1
2000130	10587	1
2000131	6742694	1
2000133	6414567	1
2000136	2331100	1
2000137	2103785	1
2000139	351213	1
2000142	4866188	1
2000145	443132	1
2000150	3788088	1
2000153	3301636	1
2000155	8220342	1
2000160	6690207	1
2000161	6731633	1
2000162	4859310	1
2000164	5806873	1
2000165	8159775	1
2000167	1379250	1
2000173	7567268	1
2000177	6448019	1
2000180	6235415	1
2000191	2864967	1
2000194	5470125	1
2000197	4100640	1
2000200	8003375	1
2000202	4392429	1
2000206	7993007	1
2000207	4275407	1
2000210	6391652	1
2000212	2701933	1
2000215	576515	1
2000216	5133518	1
2000219	4929116	1
2000221	3631827	1
2000226	2653577	1
2000229	7738617	1
2000231	3247796	1
2000236	1863457	1
2000240	369992	1
2000242	409844	1
2000245	4118217	1
2000247	7086185	1
2000248	6652392	1
2000249	4197306	1
2000250	2757193	1
2000252	4080698	1
2000253	2770730	1
2000256	6789431	1
2000258	1426696	1
2000265	1235068	1
2000267	1531257	1
2000270	2705942	1
2000272	2715335	1
2000276	1402228	1
2000279	8741730	1
2000280	8803763	1
2000282	1146285	1
2000284	886855	1
2000288	1510088	1
2000291	1957196	1
2000293	7687654	1
2000294	4272758	1
2000295	4701382	1
2000296	2352118	1
2000299	7884583	1
2000300	2853416	1
2000303	3524418	1
2000305	7161578	1
2000312	4747820	1
2000317	8650693	1
2000320	5278930	1
2000326	6657254	1
2000331	4772354	1
2000332	5597128	1
2000333	5884742	1
2000334	5723029	1
2000335	7138613	1
2000336	3183306	1
2000338	7661235	1
2000339	8056369	1
2000340	7521077	1
2000341	1580669	1
2000342	5117565	1
2000344	885587	1
2000346	5511853	1
2000348	1510142	1
2000350	7419968	1
2000351	7567510	1
2000352	7108962	1
2000355	8696220	1
2000357	7748184	1
2000364	383633	1
2000365	2373910	1
2000367	2248632	1
2000368	8255245	1
2000369	7168477	1
2000370	4158421	1
2000372	8837060	1
2000376	8276203	1
2000377	2980980	1
2000380	4308996	1
2000381	6896994	1
2000382	5927861	1
2000383	1729036	1
2000384	4211794	1
2000386	5201048	1
2000392	651172	1
2000394	3013702	1
2000395	6708364	1
2000403	2231914	1
2000404	2075379	1
2000406	5513537	1
2000407	5425344	1
2000410	541169	1
2000411	1043798	1
2000412	1975631	1
2000414	513553	1
2000417	2885687	1
2000418	96102	1
2000423	66634	1
2000426	2546602	1
2000427	5643929	1
2000433	6993121	1
2000434	1999157	1
2000439	5827556	1
2000443	5848540	1
2000448	1413199	1
2000453	6988803	1
2000455	391449	1
2000457	8171768	1
2000458	6009236	1
2000459	1057201	1
2000460	1429476	1
2000464	1488403	1
2000465	8477377	1
2000466	1007748	1
2000467	4808382	1
2000469	3845098	1
2000471	7075437	1
2000475	1972132	1
2000477	5050038	1
2000479	5718056	1
2000483	5944681	1
2000485	3056453	1
2000488	8703306	1
2000489	2069667	1
2000490	3753403	1
2000491	5147620	1
2000493	6979567	1
2000494	1739612	1
2000496	8310569	1
2000498	5220075	1
2000500	2028471	1
2000501	7048108	1
2000502	2428931	1
2000504	5459160	1
2000513	3659208	1
2000514	2554781	1
2000516	1107799	1
2000517	3579502	1
2000518	6638697	1
2000519	8480667	1
2000522	7515729	1
2000529	6883086	1
2000531	6833273	1
2000532	6382968	1
2000533	348189	1
2000536	347214	1
2000537	2665506	1
2000538	8386546	1
2000539	1244927	1
2000547	4403149	1
2000549	8040774	1
2000550	836886	1
2000555	4632792	1
2000558	2876836	1
2000562	3144406	1
2000563	2961545	1
2000564	8266741	1
2000566	7891877	1
2000567	8694663	1
2000571	6665527	1
2000576	302466	1
2000577	8724593	1
2000578	8296791	1
2000580	4040636	1
2000582	7486473	1
2000583	7496400	1
2000586	8644194	1
2000588	6308482	1
2000589	5030124	1
2000593	6677761	1
2000595	2322249	1
2000597	1553502	1
2000603	4060321	1
2000604	4759105	1
2000605	2678981	1
2000607	5811135	1
2000608	3939949	1
2000609	5452199	1
