query-id	corpus-id	score
5000001	4063103	1
5000002	5718027	1
5000003	3937516	1
5000004	7944700	1
5000005	8376707	1
5000006	689498	1
5000007	3304016	1
5000008	6073554	1
5000009	5199589	1
5000010	1347352	1
5000011	6658696	1
5000012	4820768	1
5000013	5737359	1
5000014	5338529	1
5000015	8170401	1
5000016	3755445	1
5000017	3029518	1
5000018	6051561	1
5000019	2883320	1
5000020	7529102	1
5000021	6743822	1
5000022	5818233	1
5000023	7109871	1
5000024	2509346	1
5000025	3422373	1
5000026	3774421	1
5000027	8433061	1
5000028	5595972	1
5000029	4529358	1
5000030	3419136	1
5000031	6179330	1
5000032	4882007	1
5000033	141917	1
5000034	1233442	1
5000035	6485173	1
5000036	880181	1
5000037	2950693	1
5000038	3227486	1
5000039	41515	1
5000040	8119608	1
5000041	6770943	1
5000042	338654	1
5000043	3083925	1
5000044	8722066	1
5000045	7034984	1
5000046	5858205	1
5000047	7601584	1
5000048	8693445	1
5000049	3890563	1
5000050	7045364	1
5000051	1727	1
5000052	3842353	1
5000053	6171623	1
5000054	4003605	1
5000055	199905	1
5000056	6634602	1
5000057	7101402	1
5000058	7217479	1
5000059	5804987	1
5000060	3904043	1
5000061	1433815	1
5000062	7426248	1
5000063	1590206	1
5000064	2499983	1
5000065	3701207	1
5000066	4491360	1
5000067	1540351	1
5000068	5045435	1
5000069	6130645	1
5000070	5656473	1
5000071	2449417	1
5000072	6873010	1
5000073	6982591	1
5000074	5029784	1
5000075	7542021	1
5000076	2774799	1
5000077	1972279	1
5000078	8296607	1
5000079	7131576	1
5000080	7483241	1
5000081	5041865	1
5000082	5132212	1
5000083	2777462	1
5000084	7083724	1
5000085	2164660	1
5000086	2649161	1
5000087	7982741	1
5000088	387230	1
5000089	3023803	1
5000090	2400044	1
5000091	5480907	1
5000092	5209981	1
5000093	1879983	1
5000094	5648815	1
5000095	6245123	1
5000096	663851	1
5000097	8266359	1
5000098	5814409	1
5000099	5320666	1
5000100	1368120	1
5000101	5922407	1
5000102	4776848	1
5000103	2864364	1
5000104	7195169	1
5000105	8831185	1
5000106	8822177	1
5000107	4557911	1
5000108	2241698	1
5000109	5827177	1
5000110	311834	1
5000111	347176	1
5000112	1040230	1
5000113	3333949	1
5000114	4868518	1
5000115	1196322	1
5000116	8477556	1
5000117	5803481	1
5000118	2428051	1
5000119	378581	1
5000120	4789077	1
5000121	2417415	1
5000122	4000614	1
5000123	3413843	1
5000124	600036	1
5000125	2968286	1
5000126	5302080	1
5000127	5458802	1
5000128	5860655	1
5000129	4575297	1
5000130	5277315	1
5000131	5165828	1
5000132	3619798	1
5000133	2977455	1
5000134	3084642	1
5000135	8836198	1
5000136	6392930	1
5000137	7469868	1
5000138	1374780	1
5000139	759567	1
5000140	1376477	1
5000141	4484712	1
5000142	2505253	1
5000143	3917106	1
5000144	4785089	1
5000145	5835218	1
5000146	5726649	1
5000147	4645563	1
5000148	849682	1
5000149	6246780	1
5000150	8414644	1
5000151	6175398	1
5000152	8572826	1
5000153	1792450	1
5000154	7156608	1
5000155	2475169	1
5000156	2010816	1
5000157	1395257	1
5000158	8048157	1
5000159	8745050	1
5000160	7781402	1
5000161	7147743	1
5000162	1107283	1
5000163	8706149	1
5000164	4892156	1
5000165	5799098	1
5000166	551792	1
5000167	4201989	1
5000168	4990373	1
5000169	1758938	1
5000170	1121541	1
5000171	5033502	1
5000172	383894	1
5000173	867415	1
5000174	2640405	1
5000175	3894039	1
5000176	216606	1
5000177	4680999	1
5000178	7451755	1
5000179	5476262	1
5000180	3723135	1
5000181	8306659	1
5000182	7721259	1
5000183	2959611	1
5000184	6279352	1
5000185	8700433	1
5000186	1353680	1
5000187	999634	1
5000188	7592003	1
5000189	3888458	1
5000190	5022995	1
5000191	1111934	1
5000192	6805712	1
5000193	3104477	1
5000194	779944	1
5000195	1764596	1
5000196	6848265	1
5000197	260942	1
5000198	6810579	1
5000199	4861370	1
5000200	2976139	1
5000201	417858	1
5000202	7111643	1
5000203	1294087	1
5000204	4602099	1
5000205	3756355	1
5000206	3588532	1
5000207	7043674	1
5000208	3105371	1
5000209	3871133	1
5000210	8344746	1
5000211	4413295	1
5000212	172146	1
5000213	797670	1
5000214	8723155	1
5000215	6534362	1
5000216	1673016	1
5000217	4016822	1
5000218	5281123	1
5000219	5641597	1
5000220	5544542	1
5000221	8793723	1
5000222	6763447	1
5000223	482461	1
5000224	7727212	1
5000225	8319318	1
5000226	7810411	1
5000227	5163398	1
5000228	2521234	1
5000229	5940845	1
5000230	1373494	1
5000231	5271552	1
5000232	8642485	1
5000233	7331781	1
5000234	6902802	1
5000235	2207965	1
5000236	1226271	1
5000237	1337655	1
5000238	5407174	1
5000239	5006927	1
5000240	7846908	1
5000241	5159492	1
5000242	5686479	1
5000243	7384699	1
5000244	8529496	1
5000245	2225678	1
5000246	4492830	1
5000247	6970800	1
5000248	5725690	1
5000249	1238579	1
5000250	3254739	1
5000251	2646189	1
5000252	8275041	1
5000253	6065950	1
5000254	2712187	1
5000255	5612894	1
5000256	8141131	1
5000257	3554627	1
5000258	1230712	1
5000259	7712458	1
5000260	7067085	1
5000261	5396636	1
5000262	4241870	1
5000263	512355	1
5000264	4672408	1
5000265	3348160	1
5000266	5701914	1
5000267	7155520	1
5000268	1801655	1
5000269	1453958	1
5000270	7742396	1
5000271	2510205	1
5000272	5602874	1
5000273	6417181	1
5000274	4242356	1
5000275	6162708	1
5000276	307990	1
5000277	4421482	1
5000278	6314058	1
5000279	364148	1
5000280	6925318	1
5000281	6090901	1
5000282	7426449	1
5000283	3411217	1
5000284	8666749	1
5000285	1567791	1
5000286	75490	1
5000287	2019087	1
5000288	2620758	1
5000289	3162727	1
5000290	7731025	1
5000291	7331783	1
5000292	3814066	1
5000293	6141710	1
5000294	435110	1
5000295	8000909	1
5000296	8399025	1
5000297	7848615	1
5000298	2346910	1
5000299	3508855	1
5000300	2518522	1
5000301	901733	1
5000302	31949	1
5000303	614863	1
5000304	7961466	1
5000305	1620133	1
5000306	6870420	1
5000307	222552	1
5000308	2937280	1
5000309	2427687	1
5000310	1271074	1
5000311	1280590	1
5000312	670143	1
5000313	3110743	1
5000314	1242316	1
5000315	6354612	1
5000316	338670	1
5000317	7120900	1
5000318	6714707	1
5000319	7319581	1
5000320	6564063	1
5000321	1975799	1
5000322	687051	1
5000323	8515781	1
5000324	2135036	1
5000325	1185700	1
5000326	607779	1
5000327	2778279	1
5000328	539218	1
5000329	4340905	1
5000330	3697319	1
5000331	6149055	1
5000332	5710015	1
5000333	239996	1
5000334	6616239	1
5000335	2238160	1
5000336	5312206	1
5000337	2054113	1
5000338	4891080	1
5000339	6153640	1
5000340	6104144	1
5000341	8805488	1
5000342	5225055	1
5000343	3729605	1
5000344	3398958	1
5000345	17405	1
5000346	1975345	1
5000347	2690956	1
5000348	1118124	1
5000349	3743655	1
5000350	1259483	1
5000351	6068289	1
5000352	1818494	1
5000353	8523466	1
5000354	446516	1
5000355	8370880	1
5000356	6594445	1
5000357	592789	1
5000358	5673646	1
5000359	308889	1
5000360	6924652	1
5000361	1774857	1
5000362	1546354	1
5000363	5563130	1
5000364	7937495	1
5000365	5400722	1
5000366	3153757	1
5000367	585459	1
5000368	3880568	1
5000369	4529838	1
5000370	7663559	1
5000371	4700291	1
5000372	4831222	1
5000373	3571449	1
5000374	8819349	1
5000375	8125680	1
5000376	8828738	1
5000377	4741595	1
5000378	6077103	1
5000379	5639152	1
5000380	8683622	1
5000381	2583474	1
5000382	3904925	1
5000383	1008975	1
5000384	856727	1
5000385	6142803	1
5000386	5359979	1
5000387	2389472	1
5000388	1750306	1
5000389	5361057	1
5000390	620857	1
5000391	3950335	1
5000392	4633769	1
5000393	7566899	1
5000394	6794518	1
5000395	2390991	1
5000396	8719276	1
5000397	1909438	1
5000398	1713163	1
5000399	2210416	1
5000400	6814647	1
5000401	5468093	1
5000402	6212517	1
5000403	6190217	1
5000404	4398383	1
5000405	2325391	1
5000406	1999560	1
5000407	5799325	1
5000408	5807529	1
5000409	6273320	1
5000410	6522382	1
5000411	2056245	1
5000412	8755135	1
5000413	1462614	1
5000414	8838206	1
5000415	3442605	1
5000416	3630963	1
5000417	8710108	1
5000418	5827973	1
5000419	880748	1
5000420	5650017	1
5000421	2649893	1
5000422	8487823	1
5000423	8126771	1
5000424	2581486	1
5000425	4100965	1
5000426	7654810	1
5000427	3764085	1
5000428	7609367	1
5000429	6098109	1
5000430	7958601	1
5000431	821860	1
5000432	5628358	1
5000433	8221995	1
5000434	2125042	1
5000435	5568571	1
5000436	7688671	1
5000437	8723655	1
5000438	6985388	1
5000439	135969	1
5000440	777944	1
5000441	5821065	1
5000442	3893843	1
5000443	5611159	1
5000444	7064112	1
5000445	2467253	1
5000446	1181604	1
5000447	1110773	1
5000448	3071111	1
5000449	2595047	1
5000450	6266934	1
5000451	3138633	1
5000452	6986280	1
5000453	57834	1
5000454	1469302	1
5000455	4054200	1
5000456	1198741	1
5000457	36435	1
5000458	2697813	1
5000459	8282578	1
5000460	4772281	1
5000461	8502056	1
5000462	4705650	1
5000463	7080318	1
5000464	5189896	1
5000465	6045094	1
5000466	3783740	1
5000467	2007054	1
5000468	7360195	1
5000469	2631677	1
5000470	2169901	1
5000471	2226801	1
5000472	6875389	1
5000473	2273468	1
5000474	4275600	1
5000475	6789554	1
5000476	4908843	1
5000477	6980823	1
5000478	7508977	1
5000479	10113	1
5000480	718065	1
5000481	1821503	1
5000482	3128669	1
5000483	18826	1
5000484	4399768	1
5000485	6696941	1
5000486	8498042	1
5000487	4147704	1
5000488	7250145	1
5000489	1719906	1
5000490	572537	1
5000491	2862475	1
5000492	7926243	1
5000493	7512238	1
5000494	7913514	1
5000495	7866973	1
5000496	3467550	1
5000497	1876219	1
5000498	7963613	1
5000499	6143031	1
5000500	2934482	1
5000501	3277584	1
5000502	858126	1
5000503	699575	1
5000504	570359	1
5000505	629606	1
5000506	175772	1
5000507	3932822	1
5000508	8530698	1
5000509	2581274	1
5000510	7802475	1
5000511	8599630	1
5000512	7520922	1
5000513	4049668	1
5000514	8243392	1
5000515	762337	1
5000516	8696475	1
5000517	17127	1
5000518	2546674	1
5000519	4383546	1
5000520	8401137	1
5000521	6064876	1
5000522	5128514	1
5000523	2785639	1
5000524	564337	1
5000525	5776974	1
5000526	5878900	1
5000527	7949371	1
5000528	7457744	1
5000529	7878187	1
5000530	8553186	1
5000531	4854660	1
5000532	2225942	1
5000533	7253158	1
5000534	7153650	1
5000535	8209635	1
5000536	1947426	1
5000537	5527427	1
5000538	640860	1
5000539	7783658	1
5000540	6986153	1
5000541	132172	1
5000542	6104654	1
5000543	6766163	1
5000544	7293869	1
5000545	6983229	1
5000546	2312487	1
5000547	3932216	1
5000548	8012528	1
5000549	5194942	1
5000550	3076191	1
5000551	1505004	1
5000552	7011319	1
5000553	478828	1
5000554	2817333	1
5000555	8513546	1
5000556	5193478	1
5000557	4241403	1
5000558	1254387	1
5000559	3853888	1
5000560	2244635	1
5000561	3006754	1
5000562	8280166	1
5000563	6527822	1
5000564	1873496	1
5000565	7907	1
5000566	6562005	1
5000567	4981728	1
5000568	8388597	1
5000569	5568239	1
5000570	8626551	1
5000571	3089421	1
5000572	5459035	1
5000573	1194237	1
5000574	7183717	1
5000575	5320202	1
5000576	3692129	1
5000577	3265588	1
5000578	7588723	1
5000579	8184714	1
5000580	4766794	1
5000581	114897	1
5000582	1172844	1
5000583	7506817	1
5000584	1670411	1
5000585	530180	1
5000586	3553509	1
5000587	2556120	1
5000588	2760510	1
5000589	7323701	1
5000590	7101971	1
5000591	6047269	1
5000592	6234077	1
5000593	8339293	1
5000594	5047466	1
5000595	3341635	1
5000596	8337418	1
5000597	534432	1
5000598	7774164	1
5000599	2113961	1
5000600	5179470	1
5000601	2243438	1
5000602	437875	1
5000603	5203444	1
5000604	5841811	1
5000605	96220	1
5000606	5419963	1
5000607	580150	1
5000608	6972860	1
5000609	7154682	1
5000610	5269139	1
5000611	5676031	1
5000612	253873	1
5000613	5453436	1
5000614	4127153	1
5000615	1078174	1
5000616	7368068	1
5000617	2346493	1
5000618	7881220	1
5000619	7000302	1
5000620	5405738	1
5000621	48351	1
5000622	352832	1
5000623	6090185	1
5000624	3838609	1
5000625	8793523	1
5000626	2679675	1
5000627	4406682	1
5000628	3817436	1
5000629	509337	1
5000630	1760566	1
5000631	5278722	1
5000632	5236373	1
5000633	7653402	1
5000634	5140555	1
5000635	8696389	1
5000636	5675250	1
5000637	7503902	1
5000638	479675	1
5000639	1334269	1
5000640	2428352	1
5000641	1881734	1
5000642	2568012	1
5000643	3123517	1
5000644	542	1
5000645	6689011	1
5000646	7609170	1
5000647	2597564	1
5000648	8405255	1
5000649	174903	1
5000650	3371927	1
5000651	5849712	1
5000652	3497499	1
5000653	8627556	1
5000654	8664679	1
5000655	4937901	1
5000656	5396839	1
5000657	2093559	1
5000658	2231478	1
5000659	3943497	1
5000660	791316	1
5000661	1680849	1
5000662	5759763	1
5000663	7076424	1
5000664	6569187	1
5000665	5017181	1
5000666	3664513	1
5000667	5134995	1
5000668	5920191	1
5000669	3783641	1
5000670	6041606	1
5000671	7588060	1
5000672	875408	1
5000673	2748509	1
5000674	6280308	1
5000675	3458712	1
5000676	6352357	1
5000677	6653327	1
5000678	7686317	1
5000679	8209851	1
5000680	403679	1
5000681	635496	1
5000682	8367239	1
5000683	5555737	1
5000684	8609259	1
5000685	1443068	1
5000686	7275298	1
5000687	6957545	1
5000688	489458	1
5000689	3552584	1
5000690	7557559	1
5000691	6025221	1
5000692	4486670	1
5000693	6619082	1
5000694	6250581	1
5000695	8271234	1
5000696	7437539	1
5000697	7095785	1
5000698	2387364	1
5000699	6751494	1
5000700	5687121	1
5000701	4178131	1
5000702	5626745	1
5000703	4581371	1
5000704	2269730	1
5000705	3374155	1
5000706	3052895	1
5000707	7248447	1
5000708	6751300	1
5000709	641193	1
5000710	1167031	1
5000711	2787991	1
5000712	5899253	1
5000713	8654814	1
5000714	5005716	1
5000715	5594580	1
5000716	8672448	1
5000717	1692778	1
5000718	1886937	1
5000719	7026838	1
5000720	6888205	1
5000721	3739235	1
5000722	7620779	1
5000723	4131396	1
5000724	6738917	1
5000725	8788394	1
5000726	6901278	1
5000727	5623197	1
5000728	2300722	1
5000729	5577250	1
5000730	4376484	1
5000731	4614723	1
5000732	5898397	1
5000733	6704738	1
5000734	645068	1
5000735	5287508	1
5000736	798422	1
5000737	8756771	1
5000738	2982935	1
5000739	6365909	1
5000740	4357965	1
5000741	2359301	1
5000742	69665	1
5000743	7096269	1
5000744	963633	1
5000745	2542786	1
5000746	272533	1
5000747	7225027	1
5000748	5744141	1
5000749	7538572	1
5000750	6468445	1
5000751	6899192	1
5000752	4868485	1
5000753	74486	1
5000754	8644714	1
5000755	8539654	1
5000756	6237137	1
5000757	8291833	1
5000758	5810441	1
5000759	4442371	1
5000760	5557063	1
5000761	2837469	1
5000762	8142564	1
5000763	4360637	1
5000764	8112304	1
5000765	2380115	1
5000766	4961371	1
5000767	5891739	1
5000768	8711864	1
5000769	8344967	1
5000770	8639603	1
5000771	3034226	1
5000772	5257006	1
5000773	6695806	1
5000774	1667910	1
5000775	7860072	1
5000776	586185	1
5000777	4708416	1
5000778	8257560	1
5000779	1402270	1
5000780	7170461	1
5000781	7999531	1
5000782	8781189	1
5000783	5723451	1
5000784	2592107	1
5000785	8223012	1
5000786	5891722	1
5000787	1140503	1
5000788	3309964	1
5000789	2636240	1
5000790	5913425	1
5000791	1769752	1
5000792	4591831	1
5000793	3185826	1
5000794	1504504	1
5000795	5407926	1
5000796	4757759	1
5000797	7972604	1
5000798	2773228	1
5000799	8570788	1
5000800	3375610	1
5000801	3689525	1
5000802	6509576	1
5000803	648448	1
5000804	4851809	1
5000805	5260963	1
5000806	5427523	1
5000807	8195196	1
5000808	4734370	1
5000809	3768335	1
5000810	7524071	1
5000811	8771863	1
5000812	971165	1
5000813	1645838	1
5000814	8383866	1
5000815	810710	1
5000816	6342	1
5000817	2755134	1
5000818	4291116	1
5000819	3509562	1
5000820	6193389	1
5000821	4246812	1
5000822	3512717	1
5000823	4487333	1
5000824	4009384	1
5000825	289202	1
5000826	4290577	1
5000827	896132	1
5000828	3118504	1
5000829	8231530	1
5000830	3374886	1
5000831	3073962	1
5000832	4865525	1
5000833	3656339	1
5000834	6652274	1
5000835	1759173	1
5000836	5701139	1
5000837	5834930	1
5000838	3569425	1
5000839	3611306	1
5000840	8445621	1
5000841	3931198	1
5000842	5327838	1
5000843	1496781	1
5000844	6465738	1
5000845	3903852	1
5000846	2045233	1
5000847	1388336	1
5000848	4261711	1
5000849	3096993	1
5000850	4105276	1
5000851	6255553	1
5000852	6019546	1
5000853	5410600	1
5000854	2706770	1
5000855	1984889	1
5000856	2304068	1
5000857	6585514	1
5000858	1912088	1
5000859	1106603	1
5000860	8470022	1
5000861	133450	1
5000862	8437338	1
5000863	7824625	1
5000864	2454479	1
5000865	2569638	1
5000866	2507750	1
5000867	7493270	1
5000868	3730523	1
5000869	8384115	1
5000870	8161680	1
5000871	3895561	1
5000872	8678523	1
5000873	4852218	1
5000874	341392	1
5000875	7159822	1
5000876	4007687	1
5000877	4518698	1
5000878	4080162	1
5000879	234466	1
5000880	8229136	1
5000881	4801139	1
5000882	6831391	1
5000883	1875790	1
5000884	1744096	1
5000885	6300648	1
5000886	2254360	1
5000887	6125194	1
5000888	3028333	1
5000889	8319153	1
5000890	2302004	1
5000891	6715019	1
5000892	1121024	1
5000893	7963071	1
5000894	2738027	1
5000895	6020253	1
5000896	3917657	1
5000897	5479741	1
5000898	8042634	1
5000899	1060102	1
5000900	2547201	1
5000901	1533681	1
5000902	5610103	1
5000903	215371	1
5000904	4266538	1
5000905	4150730	1
5000906	4465094	1
5000907	6737052	1
5000908	4553431	1
5000909	6666157	1
5000910	2789782	1
5000911	7443924	1
5000912	142626	1
5000913	5267305	1
5000914	1663478	1
5000915	4376134	1
5000916	7205892	1
5000917	457247	1
5000918	4110257	1
5000919	3509464	1
5000920	4166669	1
5000921	1479212	1
5000922	7967106	1
5000923	2103735	1
5000924	1622099	1
5000925	7382621	1
5000926	4346755	1
5000927	201634	1
5000928	451257	1
5000929	2116191	1
5000930	149892	1
5000931	7509762	1
5000932	3113638	1
5000933	7642860	1
5000934	5383425	1
5000935	3234297	1
5000936	5279346	1
5000937	5692604	1
5000938	2523665	1
5000939	7090214	1
5000940	6993802	1
5000941	1014750	1
5000942	3571428	1
5000943	2604389	1
5000944	4898988	1
5000945	3494532	1
5000946	4855426	1
5000947	6591177	1
5000948	1020815	1
5000949	5996360	1
5000950	8045874	1
5000951	5083433	1
5000952	1234520	1
