query-id,corpus-id,score,text_x,text_y
81040,3395711,1,can you wax matte finish paint,You can use Ultimate Quik Wax if you spray it onto a microfiber towel rather than directly onto the paint itself. It will keep a nice sheen to the finish but it won't turn matte paint to gloss. You can also use Ultimate Quik Detailer if you prefer.
621319,7212084,1,what diseases do condoms protect from,"No. Only condoms reduce the risk of pregnancy, STDs and HIV. Birth control pills, the birth control patch, contraceptive injections such as Depo-Provera, intrauterine devices (IUDs), diaphragms, and any birth control methods other than condoms do not provide protection against STDs and HIV."
593695,1948294,1,what causes yellow spots on apple tree leaves,"Cedar-Apple Rust. Yellow spots on both the leaves and the fruits of apple trees are characteristic of cedar-apple rust. Over the course of the growing season, these upper-leaf yellow spots often develop a red border, become larger and spread to the bottom of the leaf. The spots also develop tube-shaped growths that curl back over onto the leaves."
836804,3763452,1,what is the normal range for haemoglobin levels,The normal range of haemoglobin for a man is 13.5 to 17.5 g/dl and â¦ for a woman is 11.5 to 15.5 g/dl.   The normal range of haemoglobin for a man is 13.5 to 17.5 g/dl and for a woman is 11.5 to 15.5 g/dl.
698626,6018642,1,what is a ruddy,"Ruddy is a reddish-rosy crimson colour, closer to red than to rose. Ruddy may refer to: Ruddy duck (Oxyura jamaicensis), a species of duck from the Americas."
152405,4829793,1,disease which affects the woman reproductive system and the digestive system,"Pelvic Inflammatory Disease (PID) This female reproductive disorder is one of the most frequent causes of pelvic pain in women and is characterized by acute, persistent, or recurrent infection of the internal female reproductive organs."
871573,3631869,1,what kingdom did narmer rule im,"About Narmer, Pharaoh of Egypt. From: Narmer was an Egyptian Pharaoh who ruled in the 32nd century BC. Thought to be the successor to the predynastic Kings Scorpion or Selk and/or Ka, he is considered by some to be the unifier of Egypt and founder of the First dynasty, and therefore the first king of all Egypt."
336623,2894366,1,how old is swoozie,"| vids = 319+ Adande Thorne ' ( born July 10, 1988 (1988-07-10) [age 28]), known as 'sWooZie, is an Actor, Scriptwriter, Producer, Director, and YouTube Animator & Gamer. He joined YouTube in 2006, focusing the majority of his channel to giving advice and storytelling."
499597,967370,1,smudge definition,"Princeton's WordNet(4.00 / 1 vote)Rate this definition: 1  smudge(noun) a smoky fire to drive away insects. 2  smudge, spot, blot, daub, smear, smirch, slur(verb) a blemish made by dirt. he had a smudge on his cheek. 3  smear, blur, smudge, smutch(verb) make a smudge on; soil by smudging."
899050,3423620,1,what strand of dna is used to make a complementary copy or to make a complementary mrna molecule,"A nucleic acid strand that is complementary to a + strand is-strand, or antisense. If a DNA strand that is complementary to the + strand of a virus or to a mRNA molecule is allowed to bind, forming an RNA-DNA hybrid, the RNA can't be read by a ribosome."
837008,4684757,1,what is the northwest triangle?,"Northwest Angle. The Northwest Angle in Minnesota, bordering Manitoba, Ontario, and Lake of the Woods. The Northwest Angle (top) viewed from space. The Northwest Angle, known simply as the Angle by locals, and coextensive with Angle Township, is a part of northern Lake of the Woods County, Minnesota."
564967,7193222,1,what are skyjacker shocks,"The technological innovations of these durable, long lasting SkyjackerÂ® shocks deliver a noticeable advantage over the original equipment and other shock dampeners. SkyjackerÂ® shock absorbers deliver a safe, comfortable ride with improved handling and stability."
816426,6228288,1,what is the difference between a ipad and ipod,"The main difference between the iPod and the iPad is what they are for. The iPod is a music player that has expanded beyond music to include other media like videos and photos. On the other hand, the iPad has an even broader scope as a multimedia device that you can do everything that the iPod can do and more."
77712,6517962,1,can you get bail money back,"This is because when you post bail for someone you are given two options. Either you can pay the fee directly to the court, or you can use a bondsman to pay the fee. Naturally, which option you took is going to sway how and when you get your money back. Find Out The Case Status. You are not going to be able to get your money back until after either the defendant has been acquitted or the charged against them have been dropped. In the event that the individual is found guilty, your bail money will go towards the court fees."
1165884,7901941,1,what are the languages spoken in australia,"Most of these are now either extinct or moribund, with only about fifteen languages still being spoken among all age groups of the relevant tribes. An indigenous language remains the main language for about 50,000 (0.25%) people. Australia has a sign language known as Auslan, which is the main language that approximately 10,000 deaf people use."
721657,5272894,1,what is axid?,"AxidÂ®(Nizatidine, USP) is a histamine H2-receptor antagonist. Chemically, it is N-[2-[[[2-[(dimethylamino)methyl]-4-thiazolyl]methyl]thio]ethyl]-N'-methyl-2-nitro-1,1-ethenediamine."
160812,2270594,1,do you need a visa for singapore if you are a us citizen,"All foreign visitors must ensure that they meet or possess the following entry requirements stated the Singapore Immigrations and Checkpoints Authority. US Passport Holders (regular, official and diplomatic) do not require a visa to enter Singapore for business or for social visit purposes.They must, however, meet the entry requirements as mentioned above.ll foreign visitors must ensure that they meet or possess the following entry requirements stated the Singapore Immigrations and Checkpoints Authority. US Passport Holders (regular, official and diplomatic) do not require a visa to enter Singapore for business or for social visit purposes."
908994,3189183,1,what train station is td garden,"If you're going to an event at TD Garden, the North Station Garage will be your most convenient option, if not the cheapest. The MBTA owns this garage, but recently leased it for 75 years to the Bruins. Look for the addition of retail shops and a second entrance/exit onto Legends Way and Causeway Street in a few years."
836804,3036606,1,what is the normal range for haemoglobin levels,"The normal range of hemoglobin (also haemoglobin) varies in men, women, and children. The normal range of hemoglobin in male is 13.5 to 18gm/dl (gram per deciliter). For female it is 12 to 16gm/dl (gram per deciliter). In a children 11 to 16gm/dl (gram per deciliter)."
993958,5963985,1,"where is taibon agordino (bl), italy","Taibon Agordino. Taibon Agordino is a comune (municipality) in the province of Belluno in the Italian region of Veneto, located about 100 kilometres (62 mi) north of Venice and about 25 kilometres (16 mi) northwest of Belluno. As of 31 December 2004, it had a population of 1,790 and an area of 90.4 square kilometres (34.9 sq mi)."
39831,3151374,1,average pay for electrician apprentice,An Electrical Apprentice earns an average wage of $13.98 per hour. Most people move on to other jobs if they have more than 10 years' experience in this career.
717915,1749789,1,what is anethole?,"Anethole is an aromatic, unsaturated ether related to lignols. It exists as both cis-trans isomers (see also E-Z notation), involving the double bond outside the ring. The more abundant isomer, and the one preferred for use, is the trans or E isomer."
993324,2491725,1,where is sparta tn,"Sparta, TN. Sponsored Topics. Sparta is a city in White County, Tennessee, United States. The population was 4,599 at the 2000 census. It is the county seat of White County. It was the hometown of Lester Flatt of the bluegrass music legends Flatt and Scruggs."
736536,8004140,1,what is culantro,"Eryngium foetidum is a tropical perennial and annual herb in the family Apiaceae. Its scientific Latin name literally translates as foul-smelling thistle. Common names include culantro (/kuËËlÉËntroÊ/ or /kuËËlaentroÊ/), KuËËlÃ¦ntroÊ mexican coriander and long. coriander In Peru it's known as sacha culantro or (jungle culantro) in the Amazon region where E. foetidum is a basic ingredient. 2  The rest of the country does not use it but use coriandrum sativum which is coriander but called culantro, which is different."
116567,2693971,1,default costs certificate fixed costs,"10.7 Unless paragraph 1.2 of Practice Direction 45 (Fixed Costs in Small Claims) applies or unless the court orders otherwise, the fixed costs to be included in a default costs certificate are Â£80 plus a sum equal to any appropriate court fee payable on the issue of the certificate."
747292,6924777,1,what is film wax,"Film wax is the improved version of the classic hot wax, with unique properties and advantages, due to adding of the specific components. In Europe, beauticians prefer to work with Film Wax. Film wax is the improved version of the classic hot wax."
556140,1850987,1,what are caryophyllene?,"What is Caryophyllene? Caryophyllene (or Î²-Caryophyllene) is a spicy, peppery terpene found in many different edible plants. Spices like black pepper, cloves, and cinnamon, as well as herbs like oregano, basil, hops, and rosemary, are known to exhibit high concentrations of caryophyllene."
767283,4215954,1,what is lung nodule,"A lung nodule is a mass of tissue located in the lungs. Though about 40% of these growths are benign, they can be cancerous, especially in older people and smokers. Many people with this condition don't have any symptoms, though some do have wheezing, shortness of breath, or a persistent cough.edical professionals can examine chest X-rays for indications of lung nodules. Smokers are at a serious risk of developing lung nodules. A lung nodule is a mass of tissue located in the lungs. Cancerous lung nodules may be removed through a surgical procedure."
781026,2950032,1,what is paget disease,"1 Paget's disease is a chronic bone disorder. 2  Paget's disease frequently causes no symptoms. 3  Paget's disease can cause pain in the bones or joints, headaches and hearing loss, pressure on nerves, increased head size, bowing of limb, or curvature of spine.aget's disease affects older skeletal bone of adults. It's estimated that 1% of adults in the U.S. have Paget's disease. There is also an extremely rare form of Paget's disease in children, referred to as juvenile Paget's disease. Paget's disease is also known as osteitis deformans."
