query-id	corpus-id	score
2000005	2970248	1
2000010	2101448	1
2000011	6815475	1
2000012	4987533	1
2000013	6014006	1
2000014	2170381	1
2000017	1242266	1
2000018	1006490	1
2000022	7362173	1
2000023	1175520	1
2000028	960968	1
2000030	6885254	1
2000032	5492889	1
2000033	3738443	1
2000034	4712968	1
2000036	6310320	1
2000037	3881516	1
2000045	839874	1
2000049	7604325	1
2000050	4729442	1
2000052	4115045	1
2000053	8303331	1
2000056	4267203	1
2000057	5972827	1
2000058	4583879	1
2000059	3198312	1
2000060	2759811	1
2000061	4294787	1
2000063	8836198	1
2000065	6571605	1
2000066	763786	1
2000068	2055486	1
2000069	6647109	1
2000071	4173870	1
2000075	5085904	1
2000077	6659366	1
2000079	5449124	1
2000080	1571735	1
2000083	1754727	1
2000084	4380371	1
2000087	24241	1
2000089	8551414	1
2000090	3708723	1
2000093	4320391	1
2000097	6609079	1
2000099	990011	1
2000101	7836226	1
2000102	6364354	1
2000104	6010254	1
2000105	1924238	1
2000106	394589	1
2000113	2880371	1
2000114	8181917	1
2000116	4074024	1
2000117	8172421	1
2000118	6944962	1
2000121	7704994	1
2000126	7404786	1
2000127	6384471	1
2000128	4672853	1
2000129	6315210	1
2000132	2485919	1
2000133	6414567	1
2000138	5375418	1
2000140	5569441	1
2000141	6738918	1
2000143	1776693	1
2000144	3461584	1
2000146	6869401	1
2000150	3788088	1
2000154	899142	1
2000157	7871797	1
2000159	627297	1
2000165	8159775	1
2000168	7179170	1
2000177	6448019	1
2000178	3270814	1
2000180	6235415	1
2000181	2648408	1
2000182	2593789	1
2000184	4327507	1
2000189	2797392	1
2000190	419099	1
2000192	1678844	1
2000193	139313	1
2000195	4323141	1
2000197	4100640	1
2000198	1711907	1
2000204	4303292	1
2000205	6384633	1
2000206	7993007	1
2000209	7300732	1
2000210	6391652	1
2000215	576515	1
2000217	5868359	1
2000218	3195335	1
2000219	4929116	1
2000220	3934146	1
2000223	8217027	1
2000225	8713110	1
2000229	7738617	1
2000234	6944007	1
2000236	1863457	1
2000238	2141564	1
2000246	1714919	1
2000247	7086185	1
2000248	6652392	1
2000249	4197306	1
2000253	2770730	1
2000256	6789431	1
2000257	8001752	1
2000261	5287283	1
2000265	1235068	1
2000271	826485	1
2000272	2715335	1
2000274	6083841	1
2000277	2934395	1
2000279	8741730	1
2000280	8803763	1
2000281	5339828	1
2000282	1146285	1
2000284	886855	1
2000285	3681874	1
2000293	7687654	1
2000294	4272758	1
2000295	4701382	1
2000297	748873	1
2000300	2853416	1
2000301	3919940	1
2000304	8650178	1
2000306	3967316	1
2000308	6242971	1
2000311	1155719	1
2000313	6255573	1
2000314	4190631	1
2000317	8650693	1
2000319	7661250	1
2000320	5278930	1
2000326	6657254	1
2000328	2484080	1
2000333	5884742	1
2000334	5723029	1
2000340	7521077	1
2000342	5117565	1
2000343	3025846	1
2000344	885587	1
2000346	5511853	1
2000351	7567510	1
2000352	7108962	1
2000353	6701010	1
2000356	8509855	1
2000362	3200967	1
2000365	2373910	1
2000366	6636695	1
2000371	2088587	1
2000373	2223200	1
2000381	6896994	1
2000382	5927861	1
2000383	1729036	1
2000388	1969686	1
2000389	7775693	1
2000390	6422069	1
2000392	651172	1
2000393	523158	1
2000394	3013702	1
2000398	647335	1
2000399	662492	1
2000402	2606254	1
2000403	2231914	1
2000404	2075379	1
2000405	4212165	1
2000406	5513537	1
2000407	5425344	1
2000408	3672008	1
2000410	541169	1
2000411	1043798	1
2000413	2442508	1
2000414	513553	1
2000415	8277893	1
2000418	96102	1
2000419	1136381	1
2000422	6925322	1
2000429	3526176	1
2000438	2841224	1
2000442	8058964	1
2000443	5848540	1
2000450	188747	1
2000453	6988803	1
2000460	1429476	1
2000463	2207849	1
2000465	8477377	1
2000466	1007748	1
2000468	4560430	1
2000469	3845098	1
2000470	5564870	1
2000471	7075437	1
2000474	8684466	1
2000477	5050038	1
2000478	7247012	1
2000479	5718056	1
2000483	5944681	1
2000488	8703306	1
2000489	2069667	1
2000491	5147620	1
2000493	6979567	1
2000494	1739612	1
2000499	7803489	1
2000500	2028471	1
2000505	1683858	1
2000506	8044329	1
2000507	7850074	1
2000509	3198304	1
2000510	5439487	1
2000515	6617413	1
2000518	6638697	1
2000522	7515729	1
2000523	5959113	1
2000524	6132596	1
2000526	8574480	1
2000528	1579756	1
2000529	6883086	1
2000535	1470454	1
2000538	8386546	1
2000539	1244927	1
2000540	2035502	1
2000546	4281205	1
2000548	6553661	1
2000551	302485	1
2000553	6875002	1
2000554	3932502	1
2000555	4632792	1
2000562	3144406	1
2000564	8266741	1
2000569	4040816	1
2000571	6665527	1
2000572	3061857	1
2000576	302466	1
2000577	8724593	1
2000578	8296791	1
2000580	4040636	1
2000582	7486473	1
2000583	7496400	1
2000585	6983718	1
2000586	8644194	1
2000589	5030124	1
2000591	2555670	1
2000592	1179104	1
2000595	2322249	1
2000597	1553502	1
2000598	7826269	1
2000599	2368256	1
2000601	7321065	1
2000603	4060321	1
2000607	5811135	1
2000608	3939949	1
2000609	5452199	1
2000616	1236773	1
2000618	3318881	1
2000619	4465099	1
2000621	1458311	1
2000623	2064672	1
2000624	43431	1
2000626	1091900	1
2000634	2428631	1
2000640	3602202	1
2000641	3360309	1
2000645	3606840	1
2000646	6451347	1
2000648	3068927	1
2000649	8053345	1
2000650	4560052	1
2000651	7623978	1
2000652	8551928	1
2000657	6251287	1
2000663	8744534	1
2000664	4129250	1
2000668	1300046	1
2000671	2353613	1
2000675	4993594	1
2000679	5225938	1
2000681	1834223	1
2000682	5474863	1
2000683	7298262	1
2000685	2222847	1
2000690	2829900	1
2000691	3522170	1
2000693	3787803	1
2000699	4657151	1
2000700	8052397	1
2000703	7410722	1
2000705	3478353	1
2000706	5125529	1
2000711	424253	1
2000714	8659695	1
2000716	881132	1
2000719	8763441	1
2000720	7848567	1
2000721	3416841	1
2000722	7565286	1
2000727	8516276	1
2000729	2562511	1
2000731	2970779	1
2000734	7149430	1
2000739	7253871	1
2000741	6785203	1
2000742	7001960	1
2000743	4795416	1
2000750	1005381	1
2000754	3545096	1
2000755	3831292	1
2000756	7840200	1
2000759	4220617	1
2000760	3892148	1
2000762	6374041	1
2000764	4646660	1
2000765	4743518	1
2000767	1566973	1
2000768	3946673	1
2000771	651830	1
2000773	3189403	1
2000774	4823088	1
2000779	7804518	1
2000780	1602850	1
2000786	1862849	1
2000787	1279724	1
2000790	1686915	1
2000791	8645983	1
2000792	3381722	1
2000794	8351870	1
2000795	6425232	1
2000802	8270202	1
2000803	4861385	1
2000805	1851357	1
2000806	4694853	1
2000810	1542058	1
2000814	237929	1
2000815	636971	1
2000816	2449605	1
2000820	4685018	1
2000821	291846	1
2000824	1971318	1
2000827	4919290	1
2000828	1794758	1
2000829	3765716	1
2000831	835419	1
2000832	7874870	1
2000833	2245295	1
2000836	1797761	1
2000837	8727709	1
2000838	1287113	1
2000839	6173458	1
2000840	5671401	1
2000841	7686757	1
2000845	7878215	1
2000849	5835661	1
2000850	6510384	1
2000852	12335	1
2000854	7965152	1
2000862	8602769	1
2000863	7631376	1
2000864	8924	1
2000865	1580523	1
2000868	161210	1
2000870	8329317	1
2000872	5016406	1
2000874	3420020	1
2000876	6402325	1
2000880	6004002	1
2000881	8656055	1
2000882	4223375	1
2000887	7542405	1
2000888	2125223	1
2000890	3821347	1
2000892	1220452	1
2000896	5438466	1
2000897	7166398	1
2000904	6564235	1
2000907	8365503	1
2000908	589778	1
2000910	7717345	1
2000912	4374367	1
2000913	7354350	1
2000917	8463442	1
2000925	2426551	1
2000927	4675338	1
2000928	1971503	1
2000931	8403038	1
2000932	2526041	1
2000938	5530057	1
2000942	5640273	1
2000943	545649	1
2000945	3421681	1
2000946	2285449	1
2000948	5028056	1
2000950	6567195	1
2000970	2652532	1
2000974	551079	1
2000975	2521166	1
2000977	3143203	1
2000978	7738206	1
2000980	5721011	1
2000981	199003	1
2000987	2512560	1
2000989	2788934	1
2000990	8222888	1
2000992	6512615	1
2000994	8417312	1
2000995	2729497	1
2000997	7002466	1
2001003	4209776	1
2001007	6469942	1
2001009	6056560	1
2001010	7532020	1
2001011	984462	1
2001013	7433956	1
2001014	7898651	1
2001015	2562020	1
2001016	4466512	1
2001017	5305480	1
2001020	5332414	1
2001022	8331015	1
2001023	5468505	1
2001025	5057323	1
2001026	7079071	1
2001027	1353474	1
2001028	4871577	1
2001030	373611	1
2001035	2340177	1
2001037	6231182	1
2001041	1513090	1
2001042	3697840	1
2001043	2349248	1
2001044	4893213	1
2001047	3068879	1
2001049	2901529	1
2001051	2686626	1
2001058	3975647	1
2001063	2602702	1
2001065	1626704	1
2001066	3691582	1
2001067	871306	1
2001068	4844664	1
2001069	3684294	1
2001071	8604648	1
2001075	960787	1
2001078	5034469	1
2001082	8589197	1
2001087	7150342	1
2001088	3827136	1
2001090	1754521	1
2001098	1196305	1
2001099	6361144	1
2001100	8631100	1
2001103	1629631	1
2001106	8474622	1
2001111	5354744	1
2001113	7538180	1
2001114	4803018	1
2001116	5318496	1
2001118	2740486	1
2001120	5147748	1
2001122	7537675	1
2001126	50825	1
2001127	627380	1
2001130	7092647	1
2001133	1161668	1
2001134	4744311	1
2001138	1266395	1
2001139	5821097	1
2001142	2265129	1
2001145	4182028	1
2001146	5362294	1
2001147	3473292	1
2001148	2409303	1
2001149	4934492	1
2001150	3614035	1
2001151	4189385	1
2001154	6796452	1
2001157	549034	1
2001158	3210152	1
2001160	410999	1
2001161	5439401	1
2001162	1950942	1
2001164	4324219	1
2001166	1941340	1
2001168	5515847	1
2001170	1254541	1
2001180	4194476	1
2001182	7247047	1
2001183	4086087	1
2001184	7145135	1
2001185	3619296	1
2001186	7824050	1
2001187	8348082	1
2001192	4298884	1
2001195	1619463	1
2001196	2525967	1
2001200	7449783	1
2001203	5958469	1
2001204	6824643	1
2001205	5525854	1
2001211	6690178	1
2001212	4064539	1
2001215	174312	1
2001218	6734397	1
2001220	3222597	1
2001224	8384867	1
2001227	33373	1
2001228	1059003	1
2001229	4709705	1
2001231	6214912	1
2001233	2743304	1
2001239	4643570	1
2001240	5435272	1
2001242	4325506	1
2001245	4468502	1
2001252	3061281	1
2001256	5822062	1
2001261	2560082	1
2001262	3062341	1
2001265	6472846	1
2001267	7376623	1
2001269	5719605	1
2001270	4501134	1
2001276	6455132	1
2001278	8191916	1
2001279	6203464	1
2001289	8649469	1
2001292	1449736	1
2001293	6151558	1
2001296	2472457	1
2001301	8421788	1
2001303	6989059	1
2001307	2638319	1
2001315	7713850	1
2001319	457389	1
2001321	4501601	1
2001324	5857202	1
2001325	2716744	1
2001326	3309665	1
2001327	7389257	1
2001328	6331055	1
2001330	2028396	1
2001331	4373121	1
2001334	6994765	1
2001337	1485007	1
2001338	7349633	1
2001340	2177574	1
2001343	3449892	1
2001345	8774190	1
2001347	8040953	1
2001352	7409045	1
2001354	3353348	1
2001356	8429129	1
2001366	4303806	1
2001371	6140872	1
2001372	4689178	1
2001374	1265008	1
2001377	3650880	1
2001378	7832576	1
2001379	2862291	1
2001380	6536186	1
2001381	3340265	1
2001382	8528110	1
2001383	5440929	1
2001389	4141476	1
2001390	7091817	1
2001391	5484629	1
2001394	7264876	1
