query-id,corpus-id,score,text_x,title,text_y
643,407540,1,Sales Tax Licence/Permit - When is it required and how can I make a use of it as a non-US resident selling in USA?,,"Sales tax permits come from the state in which your business is operating.  You need a business license first for them to issue you one. US sales taxes are collected by the business and remitted to the government, you need the permit in order to do this. A bigger question is whether it's legal for you to engage in business in the first place.  What is your visa status?"
643,73891,1,Sales Tax Licence/Permit - When is it required and how can I make a use of it as a non-US resident selling in USA?,,"Disclaimer: I am not a tax specialist You probably need a sales tax permit if you're going to sell goods, since just about every state taxes goods, though some states have exemptions for various types of goods.  For services, it gets tricker. There is a database here that lists what services are taxed in what states; in Wyoming, for example, cellphone services and diaper services are taxed, while insurance services and barber services are not.  For selling over the internet, it gets even dicier. There's a guide on nolo.com that claims to be comprehensive; it states that the default rule of thumb is that if you have a physical presence in a state, such as a warehouse or a retail shop or an office, you must collect tax on sales in that state. Given your situation, you probably only need to collect sales tax on customers in Wyoming. Probably.  In any event, I'd advice having a chat with an accountant in Wyoming who can help walk you through what permits may or may not be needed."
767,590080,1,Is it ok to just report to 1 credit bureau instead of all 3,,"The reason you would want to report to all three is because lenders don't usually query all three. Thus, it may be that your negative mark will be missed by a future lender because that lender didn't query the agency you chose to report to. Generally, it is cheaper to report to more agencies than to query more agencies, and since those reporting are also those querying, it is in their best interest to continue reporting to all agencies, and expecting others to do the same. Each agency calculates the score independently based on the information reported to that agency. Thus only reporting a negative item to Experian will mean that TransUnion and Equifax scores for the same person will be higher."
785,474974,1,What should I do with my freshly opened LLC in California after I've moved?,,"There's no reason to keep the California LLC if you don't intend to do business in California.  If you'll have sales in California then you'll need to keep it and file taxes accordingly for those sales.  You can just as easily form a new LLC in Washington state and even keep the same name (if it's available in Washington, that is). Keeping the California LLC just creates paperwork for whatever regulatory filings California will require for no purpose at all.   As for your question about it looking suspicious that you just set up an LLC and then are shutting it down, nobody's going to care, to be honest.  As with your situation, plans change, so it isn't really all that unusual.  If you're concerned the government will say something, don't."
996,204541,1,Pre-valuation of the company,,The value of the company is ill-defined until it actually has some assets and/or product. You give the investors whatever equity stakes you and they negotiate as appropriate for their investment based on how convinced they are by your plan and how badly you need their money.
1163,285449,1,How to allocate profit and loss in partnership where one partner's activities are profitable and the other's aren't?,,"You should have a partnership agreement of some sort.  The reason partnership agreements exist is so nobody can change the game because of the outcome.   I'd say the most typical partnership agreement is that everyone gets an equal cut, meaning that everyone also makes an equal contribution.  If you have start up expenses of $10,000, you'd each contribute $5,000.  Separately, you can determine ownership share by contribution amounts, maybe one of you contributed $2,000 and the other $8,000; this would be an 80/20 split. The performance of the operation doesn't have anything to do with determining how to divide the pie, your partnership agreement determines that.  How much have you each contributed and what agreement did you make before you decided to be partners? If you have a poor performing business segment, then the partnership should get together and consider adjusting or stopping that line of business.  But you don't change how the pie is divided because of it; unless your partnership agreement says you do."
1171,461290,1,Chase bank not breaking large bills for non-account holders,,"Yes it is (legal). There is of course no law requiring any business you walk in to break your money. What made you think there would be? Being a bank in the US (and in other countries) has some legal consequences, but none of them relates to 'having to do business with anyone that walks in', neither 'having to break bills for people' (not even for established customers). Yes, it was historically commonplace for most banks to do all money-breaking for free, but that does not establish any obligation to do it. Maybe the FED is required to do that, but that won't help you if you don't live near either."
1171,250564,1,Chase bank not breaking large bills for non-account holders,,"First, they don't have an obligation to provide a service for a non-customer.  In theory, the could even refuse this service to account holders if that was their business model, although in practice that would almost surely be too large of a turn-off to be commercially feasible.  Non-account holders aren't paying fees or providing capital to the bank, so the bank really has no incentive or obligation to tie up tellers serving them. Maybe as importantly, they have a legitimate business reason in this case as stated.  The fact that the bill passed whatever test the teller did does not, of course, ensure that the bill is real.  They may (or may not) subject it to additional tests later that might be more conclusive.  Making you have an account helps ensure that, in the event they do test it and it fails, that (a) they know who you are in case the Secret Service wants to find you, and (b) they can recover their losses by debiting your account by the $100.  This isn't foolproof since any number of bad things could still happen (identity theft, closing account before they do additional tests, bill passing later tests, etc.), but it does give them some measure of protection."
1188,526664,1,How to start investing for an immigrant?,,"""For starting with zero knowledge you certainly did a great job on research as you hit on most of the important points with your question.  It seems like you have already saved up around six months of expenses in savings so it is a great time to look into investing. The hardest part of your question is actually one of the most important details.  Investing in a way that minimizes your taxes is generally more important, in the end, than what assets you actually invest in (as long as you invest even semi-reasonably).  The problem is that the interaction between your home country's tax system and the U.S. tax system can be complex.  It's probably (likely?) still worth maxing out your 401(k) (IRA, SEP, 529 accounts if you qualify) to avoid taxes, but like this question from an Indian investor it may be worth seeing an investment professional about this.  If you do, see a fee-based professional preferably one familiar with your country.   If tax-advantaged accounts are not a good deal for you or if you max them out, a discount broker is probably a good second option for someone willing to do a bit of research like you. With this money investing in broadly-diversified, low fee, index mutual funds or exchange traded funds is generally recommended.  Among other benefits, diversified funds make sure that if any particular company fails you don't feel too much pain.  The advantages of low fees are fairly obvious and one very good reason why so many people recommend Vanguard on this site.  A common mix for someone your age is mostly stocks (local and international) and some bonds.  Though with how you talk about risk you may prefer more bonds. Some people recommend spicing this up a bit with a small amount of real estate (REITs), sometimes even other assets.  The right portfolio of the above can change a lot given the person.  The above mentioned adviser and/or more research can help here. If, in the future, you start to believe you will go back to your home country soon that may throw much of this advice out the window and you should definitely reevaluate then.  Also, if you are interested in the math/stats behind the above advice """"A Random Walk Down Wall Street"""" is a light read and a good place to start.  Investing makes for a very interesting and reasonably profitable math/stats problem."""
1188,538238,1,How to start investing for an immigrant?,,"I am in a similar situation (sw developer, immigrant waiting for green card, no debt, healthy, not sure if I will stay here forever, only son of aging parents). I am contributing to my 401k to max my employer contribution (which is 3.5%, you should find that out from your HR).  I don't have any specific financial goal in my mind, so beside an emergency fund (I was recommended to have at least 6 months worth of salary in cash) I am stashing away 10% of my income which I invest with a notorious robot-adviser. The rate is 80% stocks, 20% bonds, as I don't plan to use those funds anytime soon. Should I go back to my country, I will bring with me (or transfer) the cash, and leave my investments here. The 401K will keep growing and so the investments, and perhaps I will be able to retire earlier than expected. It's quite vague I know, but in the situation we are, it's hard to make definite plans."
1604,246706,1,"If I have some old gold jewellery, is it worth it to sell it for its melt value?",,Get your jewelery appraised.  (Don't let whoever does the appraisal be the same person whom you would sell it to.) Logically jewelery must be worthy more than the raw gold that makes it up because somebody took the time to design patterns and do specialty craft to the metal.
1604,279317,1,"If I have some old gold jewellery, is it worth it to sell it for its melt value?",,"I have a buddy that used to run one of those companies that buys gold like the ones you see on TV. Here's the deal... 1) If the jewelry isn't total junk, get it appraised. Making raw materials into jewelry obviously increases the value since you can't buy jewelry for the price of raw gold. In many cases it will be worth more as jewelry, but not always. Depends on the piece. 2) Those companies generally rely on the fact that people selling jewelry to a gold dealer are in a hurry to get cash and are very negotiable on what they will take for it. Depending on how predatory they are, you will probably get between 50 and 75% of the market rate. They make a living on the spread and people's need for quick cash. They usually resell it immediately to a 3rd party that actually melts it down and resells it.  So the short answer to your question is no, you won't get close to market value with these companies. You would do better if you didn't have to go through the middle man, but then those final buyers aren't generally the ones who have set up shop to deal with the general public."
1604,260292,1,"If I have some old gold jewellery, is it worth it to sell it for its melt value?",,"""I just came across an article from the CBC on this subject: Here's one tip from the article, which echoes what others have said: """"The agency [Better Business Bureau in B.C.] suggests getting two or three appraisals from a jeweller or   jewelry store before deciding to sell."""" See the full article for the rest of the tips."""
1604,168827,1,"If I have some old gold jewellery, is it worth it to sell it for its melt value?",,Avoid gold brokers who do business through the mail. Video Full Article
1618,468718,1,What is the purpose of endorsing a check?,,"I actually had to go to the bank today and so I decided to ask. The answer I was given is that a check is a legal document (a promise to pay).  In order to get your money from the bank, you need to sign the check over to them.  By endorsing the check you are attesting to the fact that you have transferred said document to them and they can draw on that account."
1618,165397,1,What is the purpose of endorsing a check?,,"""The best reason for endorsing a check is in case it is lost. If the back is blank, a crooked finder could simply write """"pay to the order of """" on it and deposit it in his own account. You do not need a signature for the endorsement. The safest way to endorse a check is to write """"FOR DEPOSIT ONLY"""" followed by an account number, in which case the signature is not needed. most businesses make up rubber stamps with this and stamp it the minute they receive a check. That way it has no value to anyone else. Depositing checks is increasingly going the way of the dodo. Many businesses today use check truncation - the business scans the check in, sends the digital image to the bank, and stores the check. I was surprised that Chase already has an applet for iPhones that you can use to deposit a check by taking a picture of it!"""
1618,316359,1,What is the purpose of endorsing a check?,,"In my experience, you don't need to endorse a check with a signature to deposit it into your account.  You do if you are exchanging the check for cash.  Businesses usually have a stamp with their account number on them.  Once stamped, those checks are only able to be deposited into that account.  Individuals can do the same.   I have had issues depositing insurance and government checks in the past that had both my and my wife's name on them.  Both of us had to endorse the check to be able to deposit them.  I think this was some kind of fraud prevention scheme, so that later one of us couldn't claim they didn't know anything about the check."
1618,407893,1,What is the purpose of endorsing a check?,,"Paper trail of who did the deposit.  Less significant for a personal account, but a bigger deal for accounts that are used by multiple people (e.g. a corporate checking account)."
1618,91388,1,What is the purpose of endorsing a check?,,"So the bank can (theoretically) compare that signature to the ID you provide, showing that the names and signatures match and that you are the person to whom the check was written."
1618,465260,1,What is the purpose of endorsing a check?,,"""I believe the banks are protecting themselves when they """"require"""" your endorsement. Years ago. they used to ask for your endorsement, and not require it. If you endorse the check, it legally authorizes them to debit your account, if the check is later returned for non-sufficient funds (NSF). It mostly protects the bank, and not the customer."""
1618,39720,1,What is the purpose of endorsing a check?,,"When the check is deposited, the bank verifies the signature in the check matches your signature in file."
1784,200136,1,What is the lifespan of a series of currency?,,"In general, currency has no expiration date. Specifically, in Canada, the Bank of Canada has been issuing banknotes since 1935, and these are still considered legal tender, even though they don't look much like the modern banknotes.  Before that, Canadian chartered banks issued currency, and these also still have value. However, there are a few things to note.  First of all, with currency of that age, it often has more value as a collector's item than the face value.  So spending it at a store would be foolish. Second, store clerks are not experts in old currency, and will not accept a bill that they do not recognize.  If you want the face value of your old currency, you may need to exchange it for modern currency at a bank. Having said all that, there are certainly cases where currency does expire.  Generally this happens when a country changes currency.  For example, when the Euro was introduced, the old currencies were discontinued.  After a window of exchange, the old currency in many cases lost its value.  So if you have some old French Franc notes, for example, they can no longer be exchanged for Euros. These types of events cannot be predicted in the future, of course, so it is impossible to say when, if ever, the Canadian currency you have today will lose its spending value in Canada."
