query-id	corpus-id	score	text_x	text_y
206905	1845345	1	how accurate are dating scans	Dating scans are the most accurate way of predicting your due date. The whole point of the scan is to work out how many weeks pregnant you are. You may have calculated the length of your pregnancy from the first day of your last menstrual period (LMP).he scan will usually show that your pregnancy is less far along than suggested by your LMP. This means that accurate dating reduces your chance of having your labour induced because your baby is thought to be overdue (LeFevre et al 1993, NICE 2008) .
909002	4643516	1	what training and education are required to be an air marshal	Artesia -. The Federal Air Marshal Training Program (FAMTP) is a basic law enforcement training course taught at the Federal Law Enforcement Training Centers (FLETC) in Artesia, New Mexico. The program is a general introduction to law enforcement and teaches the basic knowledge and skills common to all federal law enforcement agencies.
608919	6076046	1	what county is lynchburg virginia	Department Of Mines, M. & Virginia. Department Of Transportation. (1993) Campbell County, city of Lynchburg, Virginia: 1:50 000-scale topographic map. Reston, Va.: The Survey. [Map] Retrieved from the Library of Congress, https://www.loc.gov/item/94684540/.
75096	3025667	1	can unaccompanied soldier live in barracks	The Armyâs single Soldier barracks have been renovated or newly constructed with the needs of the Soldier in mind. Check out this GoArmy feature with SPC Danny Sharpe as he gives you a tour of his barracks.
753379	3522562	1	what is hallmark	Hallmark Channels (Hallmark Channel and Hallmark Movie Channel), which is owned and operated by Crown Media Holdings, Inc. Hallmark Channels Reach New Distribution Heights This is a challenging time for any business, but I believe Hallmark is uniquely positioned to succeed because of the strength of its portfolio of trusted brands and the caliber of the Hallmark workforce.
322642	5808031	1	how much is nebraska's sales tax	Sales taxes. Nebraska has a state sales tax of 5.5%. In addition to the state tax, some Nebraska cities assess a city sales and use tax, up to a maximum of 1.5%. As of Jan. 1, 2014, there are no longer any counties in Nebraska that impose a sales tax.
545376	2153465	1	weather in oakland md	Oakland weather forecast from AccuWeather.com. Extended forecast in Oakland, MD 21550 for up to 25 days includes high temperature, RealFeel and chance of precipitation Oakland weather forecast from AccuWeather.com. Extended forecast in Oakland, MD 21550 for up to 25 days includes high temperature, RealFeel and chance of precipitation my recent locations Â°f Oakland, MD 41Â°
91131	6318439	1	cheetah speed physics	The cheetah is capable of speed. up to 72 mph (114 km/h) and can maintain this speed over an average prey chase of 3.5 miles.. 32 m/s. The cheetah (Acinonyx jubatus) is one of the fastest mammals found in the animal kingdom today.I have searched through many books and other references to find that the maximum speed of a cheetah is documented with the speed of about 30 m/s (70 mph).The book of cheetahs I found said that every part of a cheetah's body is made for speed.2 m/s. The cheetah (Acinonyx jubatus) is one of the fastest mammals found in the animal kingdom today. I have searched through many books and other references to find that the maximum speed of a cheetah is documented with the speed of about 30 m/s (70 mph).
1023010	3369590	1	which way do put your toilet paper	Toilet paper when used with a toilet roll holder with a horizontal axle parallel to the floor has two possible orientations: the toilet paper may hang over (in front of) or under (behind) the roll. The choice is largely a matter of personal preference, dictated by habit.. Right you are, Wiki, right you are.
82294	4833345	1	capital femoral epiphysis definition	From Wikipedia, the free encyclopedia. Slipped capital femoral epiphysis (SCFE or skiffy, slipped upper femoral epiphysis, SUFE or souffy) is a medical term referring to a fracture through the growth plate (physis) , which results in slippage of the overlying end of the femur (epiphysis).ormally, the head of the femur, called the capital, should sit squarely on the femoral neck. Abnormal movement along the growth plate results in the slip. The femoral epiphysis remains in the acetabulum (hip socket), while the metaphysis (end of the femur) move in an anterior direction with external rotation.
