query-id	corpus-id	score
643	407540	1
643	73891	1
767	590080	1
785	474974	1
996	204541	1
1163	285449	1
1171	461290	1
1171	250564	1
1188	526664	1
1188	538238	1
1604	246706	1
1604	279317	1
1604	260292	1
1604	168827	1
1618	468718	1
1618	165397	1
1618	316359	1
1618	407893	1
1618	91388	1
1618	465260	1
1618	39720	1
1784	200136	1
1784	119853	1
1784	494618	1
1995	39006	1
1995	274369	1
1995	558611	1
1995	228308	1
1996	313896	1
1996	126385	1
1996	565762	1
2239	309077	1
2239	58046	1
2658	30299	1
2658	287481	1
2658	364269	1
2658	508211	1
3159	114435	1
3159	477468	1
3159	466976	1
3185	305226	1
3185	444390	1
3497	248697	1
3497	140038	1
3497	159273	1
3556	319894	1
3556	288403	1
3647	59795	1
3684	330288	1
3684	197596	1
3779	145238	1
3779	580147	1
3779	249831	1
3832	8464	1
3832	18209	1
3832	132684	1
3832	264994	1
3832	475906	1
3832	422560	1
3832	385468	1
3878	33987	1
3878	230297	1
4090	3312	1
4090	315286	1
4243	244004	1
4243	560308	1
4243	311748	1
4243	482056	1
4243	352833	1
4243	311446	1
4243	163872	1
4243	476103	1
4594	474129	1
4748	408932	1
4748	584106	1
4748	43142	1
4748	426624	1
5219	420018	1
5219	396817	1
5219	429153	1
5219	56867	1
5219	306834	1
5219	287857	1
5477	61030	1
5477	496050	1
5477	19837	1
5477	305863	1
5708	273820	1
5739	124762	1
5739	132361	1
5739	246109	1
5758	369075	1
6234	114428	1
6234	254152	1
6234	540929	1
6234	320953	1
6234	563380	1
6340	333334	1
6340	598272	1
6340	108978	1
6340	570632	1
6340	324680	1
6340	355477	1
6357	458635	1
6610	597627	1
6774	146177	1
6852	597346	1
6921	162768	1
6921	594047	1
6945	499536	1
7362	397166	1
7727	474981	1
7972	556696	1
7972	546125	1
8851	186495	1
9650	107822	1
10119	474487	1
10119	326335	1
10254	214723	1
10254	488830	1
10509	509795	1
10825	61787	1
11059	466084	1
11059	547087	1
